p,replications,bayes_exact_coverage,bayes_mc_coverage,clopper_pearson_exact_coverage,clopper_pearson_mc_coverage,bayes_expected_width,clopper_pearson_expected_width
0.21,80000,0.9580768503,0.9582125000,0.9772664449,0.9770375000,0.3314133658,0.3728346447
0.22,80000,0.9394038820,0.9397750000,0.9744616133,0.9750875000,0.3349887248,0.3782637317
0.23,80000,0.9271674735,0.9263250000,0.9700202060,0.9694375000,0.3384075312,0.3834290868
0.24,80000,0.9638647305,0.9635125000,0.9855445947,0.9858625000,0.3416737366,0.3883405468
0.25,80000,0.9559036204,0.9551125000,0.9618229582,0.9616750000,0.3447910219,0.3930071849
0.26,80000,0.9460399257,0.9452375000,0.9622312395,0.9624625000,0.3477628148,0.3974373673
0.27,80000,0.9743614529,0.9751750000,0.9606990181,0.9612125000,0.3505923073,0.4016388055
0.28,80000,0.9681329542,0.9690750000,0.9777191734,0.9784125000,0.3532824706,0.4056186041
0.29,80000,0.9518094364,0.9506500000,0.9771118539,0.9761000000,0.3558360688,0.4093833054
0.30,80000,0.9444008429,0.9437500000,0.9752179238,0.9749125000,0.3582556721,0.4129389306
0.31,80000,0.9720053381,0.9711750000,0.9720053381,0.9711750000,0.3605436680,0.4162910167
0.32,80000,0.9674213823,0.9672000000,0.9674309898,0.9661125000,0.3627022720,0.4194446514
0.33,80000,0.9613971801,0.9610875000,0.9691775639,0.9703250000,0.3647335375,0.4224045041
0.34,80000,0.9414501227,0.9413000000,0.9694637517,0.9693000000,0.3666393640,0.4251748549
0.35,80000,0.9683029380,0.9686125000,0.9683029380,0.9686125000,0.3684215057,0.4277596202
0.36,80000,0.9656861108,0.9651250000,0.9656861108,0.9651250000,0.3700815784,0.4301623766
0.37,80000,0.9615846165,0.9622125000,0.9821630453,0.9823000000,0.3716210662,0.4323863821
0.38,80000,0.9559534118,0.9563375000,0.9623990521,0.9628875000,0.3730413276,0.4344345958
0.39,80000,0.9634751906,0.9639250000,0.9634751906,0.9639250000,0.3743436005,0.4363096945
0.40,80000,0.9630099097,0.9628375000,0.9630099097,0.9628375000,0.3755290075,0.4380140891
0.41,80000,0.9610047452,0.9609750000,0.9788518586,0.9787625000,0.3765985599,0.4395499378
0.42,80000,0.9574431757,0.9573125000,0.9791027788,0.9788375000,0.3775531618,0.4409191587
0.43,80000,0.9783319525,0.9785125000,0.9783319525,0.9785125000,0.3783936132,0.4421234406
0.44,80000,0.9595389910,0.9592125000,0.9595389910,0.9592125000,0.3791206133,0.4431642524
0.45,80000,0.9597223726,0.9597000000,0.9597223726,0.9597000000,0.3797347631,0.4440428514
0.46,80000,0.9583213823,0.9579250000,0.9765752950,0.9762250000,0.3802365674,0.4447602898
0.47,80000,0.9553251363,0.9551500000,0.9773751568,0.9777500000,0.3806264366,0.4453174212
0.48,80000,0.9771178128,0.9763500000,0.9771178128,0.9763500000,0.3809046886,0.4457149046
0.49,80000,0.9578114123,0.9568875000,0.9757991605,0.9749625000,0.3810715496,0.4459532080
0.50,80000,0.9586105347,0.9594375000,0.9586105347,0.9594375000,0.3811271549,0.4460326114
0.51,80000,0.9578114123,0.9575125000,0.9757991605,0.9759750000,0.3810715496,0.4459532080
0.52,80000,0.9771178128,0.9766625000,0.9771178128,0.9766625000,0.3809046886,0.4457149046
0.53,80000,0.9553251363,0.9552000000,0.9773751568,0.9772000000,0.3806264366,0.4453174212
0.54,80000,0.9583213823,0.9580875000,0.9765752950,0.9761625000,0.3802365674,0.4447602898
0.55,80000,0.9597223726,0.9586625000,0.9597223726,0.9586625000,0.3797347631,0.4440428514
0.56,80000,0.9595389910,0.9592875000,0.9595389910,0.9592875000,0.3791206133,0.4431642524
0.57,80000,0.9783319525,0.9784375000,0.9783319525,0.9784375000,0.3783936132,0.4421234406
0.58,80000,0.9574431757,0.9574875000,0.9791027788,0.9785500000,0.3775531618,0.4409191587
0.59,80000,0.9610047452,0.9599625000,0.9788518586,0.9782500000,0.3765985599,0.4395499378
0.60,80000,0.9630099097,0.9633375000,0.9630099097,0.9633375000,0.3755290075,0.4380140891
0.61,80000,0.9634751906,0.9631125000,0.9634751906,0.9631125000,0.3743436005,0.4363096945
0.62,80000,0.9559534118,0.9559750000,0.9623990521,0.9621500000,0.3730413276,0.4344345958
0.63,80000,0.9615846165,0.9613500000,0.9821630453,0.9818250000,0.3716210662,0.4323863821
0.64,80000,0.9656861108,0.9657625000,0.9656861108,0.9657625000,0.3700815784,0.4301623766
0.65,80000,0.9683029380,0.9682875000,0.9683029380,0.9682875000,0.3684215057,0.4277596202
0.66,80000,0.9414501227,0.9417750000,0.9694637517,0.9691500000,0.3666393640,0.4251748549
0.67,80000,0.9613971801,0.9610375000,0.9691775639,0.9693875000,0.3647335375,0.4224045041
0.68,80000,0.9674213823,0.9667750000,0.9674309898,0.9673500000,0.3627022720,0.4194446514
0.69,80000,0.9720053381,0.9724000000,0.9720053381,0.9724000000,0.3605436680,0.4162910167
0.70,80000,0.9444008429,0.9441500000,0.9752179238,0.9746125000,0.3582556721,0.4129389306
0.71,80000,0.9518094364,0.9521500000,0.9771118539,0.9765500000,0.3558360688,0.4093833054
0.72,80000,0.9681329542,0.9690125000,0.9777191734,0.9773750000,0.3532824706,0.4056186041
0.73,80000,0.9743614529,0.9741125000,0.9606990181,0.9602375000,0.3505923073,0.4016388055
0.74,80000,0.9460399257,0.9452000000,0.9622312395,0.9618125000,0.3477628148,0.3974373673
0.75,80000,0.9559036204,0.9557625000,0.9618229582,0.9612875000,0.3447910219,0.3930071849
0.76,80000,0.9638647305,0.9634750000,0.9855445947,0.9856125000,0.3416737366,0.3883405468
0.77,80000,0.9271674735,0.9266250000,0.9700202060,0.9707500000,0.3384075312,0.3834290868
0.78,80000,0.9394038820,0.9393750000,0.9744616133,0.9750375000,0.3349887248,0.3782637317
0.79,80000,0.9580768503,0.9565000000,0.9772664449,0.9764625000,0.3314133658,0.3728346447
0.80,80000,0.9678573369,0.9677750000,0.9784889986,0.9785500000,0.3276772117,0.3671311653
0.81,80000,0.9310956381,0.9298750000,0.9610854893,0.9605625000,0.3237757068,0.3611417443
0.82,80000,0.9463266892,0.9474125000,0.9634014932,0.9650125000,0.3197039587,0.3548538738
0.83,80000,0.9591167716,0.9585125000,0.9632629543,0.9627500000,0.3154567116,0.3482540142
0.84,80000,0.9130031550,0.9123500000,0.9912005656,0.9907000000,0.3110283180,0.3413275149
0.85,80000,0.9326920258,0.9325000000,0.9780648991,0.9783000000,0.3064127066,0.3340585321
0.86,80000,0.9493272607,0.9503625000,0.9846561757,0.9846000000,0.3016033482,0.3264299418
0.87,80000,0.8917491753,0.8915250000,0.9896526179,0.9893250000,0.2965932174,0.3184232492
0.88,80000,0.9172806238,0.9160500000,0.9933113970,0.9927375000,0.2913747516,0.3100184949
0.89,80000,0.9389750309,0.9377375000,0.9824518023,0.9820000000,0.2859398047,0.3011941586
0.90,80000,0.8670466766,0.8682250000,0.9887468658,0.9884000000,0.2802795979,0.2919270610
0.91,80000,0.9006680047,0.9019750000,0.9932105674,0.9934000000,0.2743846645,0.2821922659
0.92,80000,0.9293848226,0.9302125000,0.9816556009,0.9824250000,0.2682447899,0.2719629827
0.93,80000,0.8389971173,0.8398250000,0.9892931957,0.9892000000,0.2618489457,0.2612104725
0.94,80000,0.8850275957,0.8851375000,0.9943658575,0.9952000000,0.2551852170,0.2499039596
0.95,80000,0.9245163262,0.9229500000,0.9840984740,0.9838750000,0.2482407235,0.2380105508
0.96,80000,0.8103377954,0.8123500000,0.9925870629,0.9924625000,0.2410015319,0.2254951671
0.97,80000,0.8801619777,0.8806875000,0.9789916436,0.9790125000,0.2334525606,0.2123204907
0.98,80000,0.6676079718,0.6698875000,0.9929313066,0.9929500000,0.2255774739,0.1984469331
0.99,80000,0.0000000000,0.0000000000,0.9831406624,0.9833500000,0.2173585676,0.1838326302
