row_id,source_record,source_line,cook_rank,term_id,estimate_full,estimate_deleted,delta_full_minus_deleted,delta_in_primary_se
CP01-R0225,225,226,3,COARSE_AGGREGATE,0.01808621,0.01527463,0.00281158,0.29935174
CP01-R0225,225,226,3,FINE_AGGREGATE,0.02019035,0.01682068,0.00336967,0.31487289
CP01-R0225,225,226,3,AGE,0.11422207,0.11425147,-0.00002940,-0.00541781
CP01-R0043,43,44,4,INTERCEPT,-23.33121358,-23.24573742,-0.08547616,-0.00321514
CP01-R0043,43,44,4,CEMENT,0.11980433,0.11973993,0.00006440,0.00758674
CP01-R0043,43,44,4,SLAG,0.10386581,0.10447685,-0.00061104,-0.06028566
CP01-R0043,43,44,4,FLY_ASH,0.08793432,0.08818911,-0.00025479,-0.02024851
CP01-R0043,43,44,4,WATER,-0.14991842,-0.14954829,-0.00037013,-0.00921250
CP01-R0043,43,44,4,SUPERPLASTICIZER,0.29222460,0.29228191,-0.00005732,-0.00061350
CP01-R0043,43,44,4,COARSE_AGGREGATE,0.01808621,0.01805583,0.00003038,0.00323470
CP01-R0043,43,44,4,FINE_AGGREGATE,0.02019035,0.01988494,0.00030541,0.02853832
CP01-R0043,43,44,4,AGE,0.11422207,0.11639332,-0.00217126,-0.40007300
CP01-R0004,4,5,5,INTERCEPT,-23.33121358,-22.38594620,-0.94526739,-0.03555574
CP01-R0004,4,5,5,CEMENT,0.11980433,0.11963377,0.00017057,0.02009248
CP01-R0004,4,5,5,SLAG,0.10386581,0.10383243,0.00003338,0.00329338
CP01-R0004,4,5,5,FLY_ASH,0.08793432,0.08778687,0.00014745,0.01171770
CP01-R0004,4,5,5,WATER,-0.14991842,-0.15041396,0.00049554,0.01233386
CP01-R0004,4,5,5,SUPERPLASTICIZER,0.29222460,0.29222854,-0.00000395,-0.00004225
CP01-R0004,4,5,5,COARSE_AGGREGATE,0.01808621,0.01772713,0.00035908,0.03823192
CP01-R0004,4,5,5,FINE_AGGREGATE,0.02019035,0.01952564,0.00066471,0.06211306
CP01-R0004,4,5,5,AGE,0.11422207,0.11626462,-0.00204255,-0.37635777
CP01-R0077,77,78,6,INTERCEPT,-23.33121358,-23.43455452,0.10334094,0.00388712
CP01-R0077,77,78,6,CEMENT,0.11980433,0.11956716,0.00023718,0.02793933
CP01-R0077,77,78,6,SLAG,0.10386581,0.10332872,0.00053709,0.05298943
CP01-R0077,77,78,6,FLY_ASH,0.08793432,0.08625216,0.00168217,0.13368228
CP01-R0077,77,78,6,WATER,-0.14991842,-0.14808829,-0.00183013,-0.04555171
CP01-R0077,77,78,6,SUPERPLASTICIZER,0.29222460,0.32318551,-0.03096092,-0.33140192
CP01-R0077,77,78,6,COARSE_AGGREGATE,0.01808621,0.01803356,0.00005266,0.00560632
CP01-R0077,77,78,6,FINE_AGGREGATE,0.02019035,0.02001270,0.00017766,0.01660070
CP01-R0077,77,78,6,AGE,0.11422207,0.11403438,0.00018769,0.03458382
CP01-R0042,42,43,7,INTERCEPT,-23.33121358,-21.59981245,-1.73140114,-0.06512576
CP01-R0042,42,43,7,CEMENT,0.11980433,0.11953779,0.00026654,0.03139846
CP01-R0042,42,43,7,SLAG,0.10386581,0.10322954,0.00063626,0.06277401
CP01-R0042,42,43,7,FLY_ASH,0.08793432,0.08741313,0.00052120,0.04141963
CP01-R0042,42,43,7,WATER,-0.14991842,-0.15121470,0.00129628,0.03226423
CP01-R0042,42,43,7,SUPERPLASTICIZER,0.29222460,0.29217848,0.00004612,0.00049363
CP01-R0042,42,43,7,COARSE_AGGREGATE,0.01808621,0.01742654,0.00065967,0.07023590
CP01-R0042,42,43,7,FINE_AGGREGATE,0.02019035,0.01920257,0.00098778,0.09230134
CP01-R0042,42,43,7,AGE,0.11422207,0.11610272,-0.00188066,-0.34652756
CP01-R0621,621,622,8,INTERCEPT,-23.33121358,-23.16910221,-0.16211137,-0.00609774
CP01-R0621,621,622,8,CEMENT,0.11980433,0.11951846,0.00028587,0.03367537
CP01-R0621,621,622,8,SLAG,0.10386581,0.10357377,0.00029203,0.02881222
CP01-R0621,621,622,8,FLY_ASH,0.08793432,0.08755380,0.00038053,0.03024050
CP01-R0621,621,622,8,WATER,-0.14991842,-0.15088131,0.00096289,0.02396611
CP01-R0621,621,622,8,SUPERPLASTICIZER,0.29222460,0.29047716,0.00174743,0.01870429
CP01-R0621,621,622,8,COARSE_AGGREGATE,0.01808621,0.01790971,0.00017651,0.01879288
CP01-R0621,621,622,8,FINE_AGGREGATE,0.02019035,0.02051296,-0.00032261,-0.03014574
CP01-R0621,621,622,8,AGE,0.11422207,0.11624927,-0.00202720,-0.37352902
CP01-R0793,793,794,9,INTERCEPT,-23.33121358,-26.82051066,3.48929708,0.13124811
CP01-R0793,793,794,9,CEMENT,0.11980433,0.12085512,-0.00105078,-0.12378153
CP01-R0793,793,794,9,SLAG,0.10386581,0.10500359,-0.00113778,-0.11225405
CP01-R0793,793,794,9,FLY_ASH,0.08793432,0.08926111,-0.00132679,-0.10544019
CP01-R0793,793,794,9,WATER,-0.14991842,-0.14678513,-0.00313329,-0.07798699
CP01-R0793,793,794,9,SUPERPLASTICIZER,0.29222460,0.29148844,0.00073615,0.00787967
CP01-R0793,793,794,9,COARSE_AGGREGATE,0.01808621,0.01933382,-0.00124761,-0.13283413
CP01-R0793,793,794,9,FINE_AGGREGATE,0.02019035,0.02173030,-0.00153994,-0.14389740
CP01-R0793,793,794,9,AGE,0.11422207,0.11624520,-0.00202313,-0.37277953
CP01-R0007,7,8,10,INTERCEPT,-23.33121358,-22.05299521,-1.27821837,-0.04807952
CP01-R0007,7,8,10,CEMENT,0.11980433,0.11959593,0.00020841,0.02455033
CP01-R0007,7,8,10,SLAG,0.10386581,0.10354191,0.00032390,0.03195613
CP01-R0007,7,8,10,FLY_ASH,0.08793432,0.08761322,0.00032110,0.02551813
CP01-R0007,7,8,10,WATER,-0.14991842,-0.15077687,0.00085845,0.02136666
CP01-R0007,7,8,10,SUPERPLASTICIZER,0.29222460,0.29220408,0.00002052,0.00021964
CP01-R0007,7,8,10,COARSE_AGGREGATE,0.01808621,0.01759970,0.00048651,0.05179930
CP01-R0007,7,8,10,FINE_AGGREGATE,0.02019035,0.01940286,0.00078749,0.07358546
CP01-R0007,7,8,10,AGE,0.11422207,0.11608224,-0.00186017,-0.34275263
CP01-R0623,623,624,11,INTERCEPT,-23.33121358,-21.29412183,-2.03709176,-0.07662415
CP01-R0623,623,624,11,CEMENT,0.11980433,0.11921243,0.00059191,0.06972603
CP01-R0623,623,624,11,SLAG,0.10386581,0.10310418,0.00076163,0.07514212
CP01-R0623,623,624,11,FLY_ASH,0.08793432,0.08710756,0.00082676,0.06570275
CP01-R0623,623,624,11,WATER,-0.14991842,-0.15383965,0.00392123,0.09759884
CP01-R0623,623,624,11,SUPERPLASTICIZER,0.29222460,0.28647925,0.00574535,0.06149748
CP01-R0623,623,624,11,COARSE_AGGREGATE,0.01808621,0.01733814,0.00074808,0.07964847
CP01-R0623,623,624,11,FINE_AGGREGATE,0.02019035,0.01972348,0.00046687,0.04362614
CP01-R0623,623,624,11,AGE,0.11422207,0.11621439,-0.00199232,-0.36710339
CP01-R0502,502,503,12,INTERCEPT,-23.33121358,-30.47401324,7.14279965,0.26867272
CP01-R0502,502,503,12,CEMENT,0.11980433,0.12274733,-0.00294299,-0.34668216
CP01-R0502,502,503,12,SLAG,0.10386581,0.10665316,-0.00278735,-0.27500058
CP01-R0502,502,503,12,FLY_ASH,0.08793432,0.09214596,-0.00421163,-0.33469987
CP01-R0502,502,503,12,WATER,-0.14991842,-0.13951389,-0.01040453,-0.25896712
CP01-R0502,502,503,12,SUPERPLASTICIZER,0.29222460,0.28959768,0.00262692,0.02811822
CP01-R0502,502,503,12,COARSE_AGGREGATE,0.01808621,0.02005200,-0.00196579,-0.20929938
CP01-R0502,502,503,12,FINE_AGGREGATE,0.02019035,0.02294723,-0.00275688,-0.25761146
CP01-R0502,502,503,12,AGE,0.11422207,0.11392804,0.00029403,0.05417815
CP01-R0617,617,618,13,INTERCEPT,-23.33121358,-22.22116220,-1.11005138,-0.04175401
CP01-R0617,617,618,13,CEMENT,0.11980433,0.11939811,0.00040622,0.04785287
CP01-R0617,617,618,13,SLAG,0.10386581,0.10339346,0.00047235,0.04660207
CP01-R0617,617,618,13,FLY_ASH,0.08793432,0.08738709,0.00054723,0.04348866
CP01-R0617,617,618,13,WATER,-0.14991842,-0.15266528,0.00274686,0.06836899
CP01-R0617,617,618,13,SUPERPLASTICIZER,0.29222460,0.28724863,0.00497597,0.05326217
CP01-R0617,617,618,13,COARSE_AGGREGATE,0.01808621,0.01761706,0.00046915,0.04995128
CP01-R0617,617,618,13,FINE_AGGREGATE,0.02019035,0.02017628,0.00001407,0.00131479
CP01-R0617,617,618,13,AGE,0.11422207,0.11617355,-0.00195148,-0.35957833
CP01-R0605,605,606,14,INTERCEPT,-23.33121358,-21.72746517,-1.60374841,-0.06032417
CP01-R0605,605,606,14,CEMENT,0.11980433,0.11940911,0.00039523,0.04655744
CP01-R0605,605,606,14,SLAG,0.10386581,0.10325986,0.00060595,0.05978325
CP01-R0605,605,606,14,FLY_ASH,0.08793432,0.08733439,0.00059993,0.04767647
CP01-R0605,605,606,14,WATER,-0.14991842,-0.15304221,0.00312379,0.07775066
CP01-R0605,605,606,14,SUPERPLASTICIZER,0.29222460,0.28725508,0.00496952,0.05319311
CP01-R0605,605,606,14,COARSE_AGGREGATE,0.01808621,0.01748814,0.00059808,0.06367784
CP01-R0605,605,606,14,FINE_AGGREGATE,0.02019035,0.01980150,0.00038885,0.03633572
CP01-R0605,605,606,14,AGE,0.11422207,0.11617471,-0.00195264,-0.35979179
CP01-R0815,815,816,15,INTERCEPT,-23.33121358,-23.61623021,0.28501663,0.01072075
CP01-R0815,815,816,15,CEMENT,0.11980433,0.11990275,-0.00009842,-0.01159371
CP01-R0815,815,816,15,SLAG,0.10386581,0.10392591,-0.00006011,-0.00593003
CP01-R0815,815,816,15,FLY_ASH,0.08793432,0.08804042,-0.00010609,-0.00843129
CP01-R0815,815,816,15,WATER,-0.14991842,-0.15083359,0.00091517,0.02277845
CP01-R0815,815,816,15,SUPERPLASTICIZER,0.29222460,0.28781019,0.00441441,0.04725127
CP01-R0815,815,816,15,COARSE_AGGREGATE,0.01808621,0.01807118,0.00001503,0.00160031
CP01-R0815,815,816,15,FINE_AGGREGATE,0.02019035,0.02069592,-0.00050557,-0.04724174
CP01-R0815,815,816,15,AGE,0.11422207,0.11612658,-0.00190451,-0.35092232
CP01-R0067,67,68,16,INTERCEPT,-23.33121358,-27.33281668,4.00160310,0.15051823
CP01-R0067,67,68,16,CEMENT,0.11980433,0.12077951,-0.00097518,-0.11487519
CP01-R0067,67,68,16,SLAG,0.10386581,0.10569973,-0.00183392,-0.18093504
CP01-R0067,67,68,16,FLY_ASH,0.08793432,0.08956048,-0.00162616,-0.12923104
CP01-R0067,67,68,16,WATER,-0.14991842,-0.14618243,-0.00373599,-0.09298820
CP01-R0067,67,68,16,SUPERPLASTICIZER,0.29222460,0.29176732,0.00045728,0.00489463
CP01-R0067,67,68,16,COARSE_AGGREGATE,0.01808621,0.01954717,-0.00146096,-0.15554968
CP01-R0067,67,68,16,FINE_AGGREGATE,0.02019035,0.02193446,-0.00174410,-0.16297479
CP01-R0067,67,68,16,AGE,0.11422207,0.11588451,-0.00166244,-0.30631997
CP01-R0770,770,771,17,INTERCEPT,-23.33121358,-23.45541114,0.12419755,0.00467163
CP01-R0770,770,771,17,CEMENT,0.11980433,0.11991100,-0.00010666,-0.01256477
CP01-R0770,770,771,17,SLAG,0.10386581,0.10389919,-0.00003338,-0.00329347
CP01-R0770,770,771,17,FLY_ASH,0.08793432,0.08803272,-0.00009839,-0.00781944
CP01-R0770,770,771,17,WATER,-0.14991842,-0.15102997,0.00111155,0.02766623
CP01-R0770,770,771,17,SUPERPLASTICIZER,0.29222460,0.28772656,0.00449804,0.04814645
CP01-R0770,770,771,17,COARSE_AGGREGATE,0.01808621,0.01805605,0.00003016,0.00321165
CP01-R0770,770,771,17,FINE_AGGREGATE,0.02019035,0.02055810,-0.00036775,-0.03436376
CP01-R0770,770,771,17,AGE,0.11422207,0.11603404,-0.00181197,-0.33387113
CP01-R0075,75,76,18,INTERCEPT,-23.33121358,-23.12499053,-0.20622305,-0.00775697
CP01-R0075,75,76,18,CEMENT,0.11980433,0.11970382,0.00010051,0.01184019
CP01-R0075,75,76,18,SLAG,0.10386581,0.10368331,0.00018250,0.01800531
CP01-R0075,75,76,18,FLY_ASH,0.08793432,0.08688662,0.00104770,0.08326134
CP01-R0075,75,76,18,WATER,-0.14991842,-0.15103006,0.00111164,0.02766844
CP01-R0075,75,76,18,SUPERPLASTICIZER,0.29222460,0.30393336,-0.01170877,-0.12532923
CP01-R0075,75,76,18,COARSE_AGGREGATE,0.01808621,0.01776156,0.00032466,0.03456651
CP01-R0075,75,76,18,FINE_AGGREGATE,0.02019035,0.02066122,-0.00047087,-0.04399931
CP01-R0075,75,76,18,AGE,0.11422207,0.11419561,0.00002646,0.00487551
CP01-R0382,382,383,19,INTERCEPT,-23.33121358,-23.26946984,-0.06174375,-0.00232246
CP01-R0382,382,383,19,CEMENT,0.11980433,0.11952810,0.00027623,0.03254000
CP01-R0382,382,383,19,SLAG,0.10386581,0.10318242,0.00068339,0.06742361
CP01-R0382,382,383,19,FLY_ASH,0.08793432,0.08795879,-0.00002447,-0.00194446
CP01-R0382,382,383,19,WATER,-0.14991842,-0.14604336,-0.00387506,-0.09644960
CP01-R0382,382,383,19,SUPERPLASTICIZER,0.29222460,0.29934037,-0.00711578,-0.07616643
CP01-R0382,382,383,19,COARSE_AGGREGATE,0.01808621,0.01730261,0.00078360,0.08343072
CP01-R0382,382,383,19,FINE_AGGREGATE,0.02019035,0.02025415,-0.00006380,-0.00596203
CP01-R0382,382,383,19,AGE,0.11422207,0.11414749,0.00007457,0.01374100
CP01-R0747,747,748,20,INTERCEPT,-23.33121358,-27.56428704,4.23307346,0.15922487
CP01-R0747,747,748,20,CEMENT,0.11980433,0.12136260,-0.00155827,-0.18356277
CP01-R0747,747,748,20,SLAG,0.10386581,0.10499170,-0.00112589,-0.11108082
CP01-R0747,747,748,20,FLY_ASH,0.08793432,0.08934388,-0.00140955,-0.11201767
CP01-R0747,747,748,20,WATER,-0.14991842,-0.14368722,-0.00623120,-0.15509358
CP01-R0747,747,748,20,SUPERPLASTICIZER,0.29222460,0.29561329,-0.00338870,-0.03627223
CP01-R0747,747,748,20,COARSE_AGGREGATE,0.01808621,0.01990830,-0.00182208,-0.19399889
CP01-R0747,747,748,20,FINE_AGGREGATE,0.02019035,0.02117450,-0.00098415,-0.09196183
CP01-R0747,747,748,20,AGE,0.11422207,0.11368183,0.00054023,0.09954302
CP01-R0226,226,227,21,INTERCEPT,-23.33121358,-16.88627895,-6.44493464,-0.24242289
CP01-R0226,226,227,21,CEMENT,0.11980433,0.11829808,0.00150625,0.17743572
CP01-R0226,226,227,21,SLAG,0.10386581,0.10227581,0.00159000,0.15686930
CP01-R0226,226,227,21,FLY_ASH,0.08793432,0.08659964,0.00133468,0.10606742
CP01-R0226,226,227,21,WATER,-0.14991842,-0.16174971,0.01183129,0.29447893
CP01-R0226,226,227,21,SUPERPLASTICIZER,0.29222460,0.27335467,0.01886992,0.20198135
CP01-R0226,226,227,21,COARSE_AGGREGATE,0.01808621,0.01621522,0.00187099,0.19920640
CP01-R0226,226,227,21,FINE_AGGREGATE,0.02019035,0.01795184,0.00223851,0.20917354
CP01-R0226,226,227,21,AGE,0.11422207,0.11429647,-0.00007440,-0.01370918
CP01-R0086,86,87,22,INTERCEPT,-23.33121358,-22.51932087,-0.81189272,-0.03053893
CP01-R0086,86,87,22,CEMENT,0.11980433,0.11937381,0.00043053,0.05071582
CP01-R0086,86,87,22,SLAG,0.10386581,0.10346011,0.00040570,0.04002630
CP01-R0086,86,87,22,FLY_ASH,0.08793432,0.08663792,0.00129640,0.10302521
CP01-R0086,86,87,22,WATER,-0.14991842,-0.15111230,0.00119388,0.02971550
CP01-R0086,86,87,22,SUPERPLASTICIZER,0.29222460,0.30640261,-0.01417801,-0.15175974
CP01-R0086,86,87,22,COARSE_AGGREGATE,0.01808621,0.01853929,-0.00045307,-0.04823922
CP01-R0086,86,87,22,FINE_AGGREGATE,0.02019035,0.01907015,0.00112021,0.10467559
CP01-R0086,86,87,22,AGE,0.11422207,0.11395034,0.00027173,0.05006856
CP01-R0829,829,830,23,INTERCEPT,-23.33121358,-25.18757046,1.85635688,0.06982591
CP01-R0829,829,830,23,CEMENT,0.11980433,0.11927802,0.00052632,0.06199998
CP01-R0829,829,830,23,SLAG,0.10386581,0.10377656,0.00008925,0.00880500
CP01-R0829,829,830,23,FLY_ASH,0.08793432,0.08752023,0.00041409,0.03290783
CP01-R0829,829,830,23,WATER,-0.14991842,-0.14409823,-0.00582019,-0.14486365
CP01-R0829,829,830,23,SUPERPLASTICIZER,0.29222460,0.31519976,-0.02297517,-0.24592340
CP01-R0829,829,830,23,COARSE_AGGREGATE,0.01808621,0.01898133,-0.00089512,-0.09530403
CP01-R0829,829,830,23,FINE_AGGREGATE,0.02019035,0.02011959,0.00007077,0.00661259
CP01-R0829,829,830,23,AGE,0.11422207,0.11417417,0.00004789,0.00882497
CP01-R0080,80,81,24,INTERCEPT,-23.33121358,-23.39708276,0.06586918,0.00247764
CP01-R0080,80,81,24,CEMENT,0.11980433,0.11973854,0.00006580,0.00775112
CP01-R0080,80,81,24,SLAG,0.10386581,0.10322744,0.00063837,0.06298189
CP01-R0080,80,81,24,FLY_ASH,0.08793432,0.08673953,0.00119479,0.09495067
CP01-R0080,80,81,24,WATER,-0.14991842,-0.14861969,-0.00129873,-0.03232516
CP01-R0080,80,81,24,SUPERPLASTICIZER,0.29222460,0.31185145,-0.01962685,-0.21008342
CP01-R0080,80,81,24,COARSE_AGGREGATE,0.01808621,0.01793899,0.00014723,0.01567569
CP01-R0080,80,81,24,FINE_AGGREGATE,0.02019035,0.02020372,-0.00001337,-0.00124937
CP01-R0080,80,81,24,AGE,0.11422207,0.11403228,0.00018979,0.03497056
CP01-R0001,1,2,25,INTERCEPT,-23.33121358,-26.68066522,3.34945163,0.12598789
CP01-R0001,1,2,25,CEMENT,0.11980433,0.11988304,-0.00007871,-0.00927195
CP01-R0001,1,2,25,SLAG,0.10386581,0.10469100,-0.00082519,-0.08141314
CP01-R0001,1,2,25,FLY_ASH,0.08793432,0.08867040,-0.00073608,-0.05849625
CP01-R0001,1,2,25,WATER,-0.14991842,-0.14323368,-0.00668473,-0.16638197
CP01-R0001,1,2,25,SUPERPLASTICIZER,0.29222460,0.30628957,-0.01406498,-0.15054982
CP01-R0001,1,2,25,COARSE_AGGREGATE,0.01808621,0.01894713,-0.00086091,-0.09166215
CP01-R0001,1,2,25,FINE_AGGREGATE,0.02019035,0.02155271,-0.00136236,-0.12730306
CP01-R0001,1,2,25,AGE,0.11422207,0.11439413,-0.00017206,-0.03170432
CP01-R0005,5,6,26,INTERCEPT,-23.33121358,-24.21355991,0.88234632,0.03318900
CP01-R0005,5,6,26,CEMENT,0.11980433,0.11998987,-0.00018554,-0.02185615
CP01-R0005,5,6,26,SLAG,0.10386581,0.10445321,-0.00058741,-0.05795355
CP01-R0005,5,6,26,FLY_ASH,0.08793432,0.08836880,-0.00043448,-0.03452812
CP01-R0005,5,6,26,WATER,-0.14991842,-0.14997484,0.00005642,0.00140439
CP01-R0005,5,6,26,SUPERPLASTICIZER,0.29222460,0.28885952,0.00336507,0.03601933
CP01-R0005,5,6,26,COARSE_AGGREGATE,0.01808621,0.01836241,-0.00027620,-0.02940717
CP01-R0005,5,6,26,FINE_AGGREGATE,0.02019035,0.02080534,-0.00061499,-0.05746656
CP01-R0005,5,6,26,AGE,0.11422207,0.11567900,-0.00145693,-0.26845264
CP01-R0406,406,407,27,INTERCEPT,-23.33121358,-29.17382245,5.84260886,0.21976671
CP01-R0406,406,407,27,CEMENT,0.11980433,0.12115817,-0.00135384,-0.15948137
CP01-R0406,406,407,27,SLAG,0.10386581,0.10590388,-0.00203808,-0.20107687
CP01-R0406,406,407,27,FLY_ASH,0.08793432,0.09032382,-0.00238950,-0.18989434
CP01-R0406,406,407,27,WATER,-0.14991842,-0.14117128,-0.00874714,-0.21771492
CP01-R0406,406,407,27,SUPERPLASTICIZER,0.29222460,0.29694996,-0.00472537,-0.05057974
CP01-R0406,406,407,27,COARSE_AGGREGATE,0.01808621,0.01975729,-0.00167107,-0.17792060
CP01-R0406,406,407,27,FINE_AGGREGATE,0.02019035,0.02266376,-0.00247341,-0.23112330
CP01-R0406,406,407,27,AGE,0.11422207,0.11437694,-0.00015487,-0.02853659
CP01-R0554,554,555,28,INTERCEPT,-23.33121358,-24.41007473,1.07886115,0.04058080
CP01-R0554,554,555,28,CEMENT,0.11980433,0.12061131,-0.00080697,-0.09506067
CP01-R0554,554,555,28,SLAG,0.10386581,0.10551413,-0.00164832,-0.16262368
CP01-R0554,554,555,28,FLY_ASH,0.08793432,0.08925462,-0.00132029,-0.10492420
CP01-R0554,554,555,28,WATER,-0.14991842,-0.15009110,0.00017268,0.00429807
CP01-R0554,554,555,28,SUPERPLASTICIZER,0.29222460,0.28011111,0.01211348,0.12966123
CP01-R0554,554,555,28,COARSE_AGGREGATE,0.01808621,0.01847135,-0.00038513,-0.04100554
CP01-R0554,554,555,28,FINE_AGGREGATE,0.02019035,0.02072732,-0.00053697,-0.05017636
CP01-R0554,554,555,28,AGE,0.11422207,0.11412356,0.00009850,0.01815027
CP01-R0503,503,504,29,INTERCEPT,-23.33121358,-28.21799444,4.88678085,0.18381374
CP01-R0503,503,504,29,CEMENT,0.11980433,0.12181780,-0.00201347,-0.23718489
CP01-R0503,503,504,29,SLAG,0.10386581,0.10577491,-0.00190910,-0.18835254
CP01-R0503,503,504,29,FLY_ASH,0.08793432,0.09081819,-0.00288387,-0.22918227
CP01-R0503,503,504,29,WATER,-0.14991842,-0.14281393,-0.00710449,-0.17682950
CP01-R0503,503,504,29,SUPERPLASTICIZER,0.29222460,0.29041839,0.00180620,0.01933335
CP01-R0503,503,504,29,COARSE_AGGREGATE,0.01808621,0.01943145,-0.00134523,-0.14322832
CP01-R0503,503,504,29,FINE_AGGREGATE,0.02019035,0.02207791,-0.00188756,-0.17638004
CP01-R0503,503,504,29,AGE,0.11422207,0.11403909,0.00018298,0.03371498
CP01-R0505,505,506,30,INTERCEPT,-23.33121358,-25.00292521,1.67171163,0.06288057
CP01-R0505,505,506,30,CEMENT,0.11980433,0.12116240,-0.00135806,-0.15997855
CP01-R0505,505,506,30,SLAG,0.10386581,0.10488087,-0.00101506,-0.10014636
CP01-R0505,505,506,30,FLY_ASH,0.08793432,0.09000512,-0.00207079,-0.16456666
CP01-R0505,505,506,30,WATER,-0.14991842,-0.14741764,-0.00250078,-0.06224395
CP01-R0505,505,506,30,SUPERPLASTICIZER,0.29222460,0.28323078,0.00899381,0.09626870
CP01-R0505,505,506,30,COARSE_AGGREGATE,0.01808621,0.01821814,-0.00013193,-0.01404644
CP01-R0505,505,506,30,FINE_AGGREGATE,0.02019035,0.02097516,-0.00078480,-0.07333470
CP01-R0505,505,506,30,AGE,0.11422207,0.11397079,0.00025127,0.04629959
CP01-R0384,384,385,31,INTERCEPT,-23.33121358,-24.68136937,1.35015579,0.05078541
CP01-R0384,384,385,31,CEMENT,0.11980433,0.12016471,-0.00036037,-0.04245146
CP01-R0384,384,385,31,SLAG,0.10386581,0.10494439,-0.00107858,-0.10641287
CP01-R0384,384,385,31,FLY_ASH,0.08793432,0.08950567,-0.00157134,-0.12487518
CP01-R0384,384,385,31,WATER,-0.14991842,-0.14835201,-0.00156641,-0.03898764
CP01-R0384,384,385,31,SUPERPLASTICIZER,0.29222460,0.28206672,0.01015788,0.10872869
CP01-R0384,384,385,31,COARSE_AGGREGATE,0.01808621,0.01822446,-0.00013824,-0.01471858
CP01-R0384,384,385,31,FINE_AGGREGATE,0.02019035,0.02107567,-0.00088532,-0.08272677
CP01-R0384,384,385,31,AGE,0.11422207,0.11446945,-0.00024738,-0.04558273
CP01-R0585,585,586,32,INTERCEPT,-23.33121358,-24.40104104,1.06982746,0.04024101
CP01-R0585,585,586,32,CEMENT,0.11980433,0.12053854,-0.00073421,-0.08648886
CP01-R0585,585,586,32,SLAG,0.10386581,0.10543862,-0.00157281,-0.15517379
CP01-R0585,585,586,32,FLY_ASH,0.08793432,0.08914394,-0.00120961,-0.09612847
CP01-R0585,585,586,32,WATER,-0.14991842,-0.15003478,0.00011636,0.00289614
CP01-R0585,585,586,32,SUPERPLASTICIZER,0.29222460,0.28084597,0.01137862,0.12179538
CP01-R0585,585,586,32,COARSE_AGGREGATE,0.01808621,0.01849635,-0.00041013,-0.04366700
CP01-R0585,585,586,32,FINE_AGGREGATE,0.02019035,0.02070828,-0.00051793,-0.04839706
CP01-R0585,585,586,32,AGE,0.11422207,0.11410908,0.00011299,0.02081918
CP01-R0405,405,406,33,INTERCEPT,-23.33121358,-26.00050291,2.66928932,0.10040394
CP01-R0405,405,406,33,CEMENT,0.11980433,0.11989515,-0.00009082,-0.01069839
CP01-R0405,405,406,33,SLAG,0.10386581,0.10372216,0.00014365,0.01417280
CP01-R0405,405,406,33,FLY_ASH,0.08793432,0.08745161,0.00048271,0.03836131
