row_id,source_record,source_line,clean_record,canonical_row_sha256,full_row_duplicate_group,predictor_duplicate_group,disposition,exclusion_reason
CP01-R0146,146,147,146,cae0bcc9af41b90805861338f4a170df1bf1d57cf286b6179a5e118943ab2c38,,,kept,
CP01-R0147,147,148,147,a79169da8b549bb7dc3d56cb3ea77f86efdeb9c236315428a42fd894cc8f83da,CP01-R0142,CP01-R0142,kept,
CP01-R0148,148,149,148,158ffbe4aeabca8abd980f4b4953f6d92d7280664f4314d361026190dc152ddc,,,kept,
CP01-R0149,149,150,149,62ecbcc5ccdc88653c7a4524a027be402f14d09be36e205a76ef51962d8c63a8,,,kept,
CP01-R0150,150,151,150,a79169da8b549bb7dc3d56cb3ea77f86efdeb9c236315428a42fd894cc8f83da,CP01-R0142,CP01-R0142,kept,
CP01-R0151,151,152,151,d4dd88dfd47dc168ecf60592a8a78df60d55d4f102b1941160c6a9c3f45c68e7,,,kept,
CP01-R0152,152,153,152,81a62165be3520f58c7fd081bc0f270f803a8c43e61fc0212e1251ce6781fb83,,,kept,
CP01-R0153,153,154,153,70aa162f80b61126c6c8f4d1c84f5215e101932347e962f550a1b374657f67dc,CP01-R0153,CP01-R0153,kept,
CP01-R0154,154,155,154,bc5e4a0f120d5e34be0d2687f90705c32fa340aa1aff73a021e765727bd5be81,,,kept,
CP01-R0155,155,156,155,d1c67e84a834c692506514e0c999c8f032490a688b237872e945f9043bcfbf00,,,kept,
CP01-R0156,156,157,156,70aa162f80b61126c6c8f4d1c84f5215e101932347e962f550a1b374657f67dc,CP01-R0153,CP01-R0153,kept,
CP01-R0157,157,158,157,263203f6bfed7795168687745454053f741b29f39b1e17703961350bd2ec4178,,,kept,
CP01-R0158,158,159,158,70aa162f80b61126c6c8f4d1c84f5215e101932347e962f550a1b374657f67dc,CP01-R0153,CP01-R0153,kept,
CP01-R0159,159,160,159,4f8e671cda5e8e23e589c19db73aa25224d84679fa3f68f6cd0155fd641636c1,,,kept,
CP01-R0160,160,161,160,7e9f1f8a3a9e1b949e96dda9693d5f987bf4a11051f9b5edf3d60d4e964456d1,,,kept,
CP01-R0161,161,162,161,70aa162f80b61126c6c8f4d1c84f5215e101932347e962f550a1b374657f67dc,CP01-R0153,CP01-R0153,kept,
CP01-R0162,162,163,162,9becf4bf05c40480f2f6a535a54e05f495d258e034c61cde9fd794e0174af0ad,,,kept,
CP01-R0163,163,164,163,f26acba95db70b2116f9edf28e28b79d5f5f3619e9abc4e1d08c9a430e4fb23c,,,kept,
CP01-R0164,164,165,164,14105c0bc203c409b03fd3f447bbe449a0526dba237b4b2014b0475cc89e1dc1,,,kept,
CP01-R0165,165,166,165,a78e647a64d0f71a55d82ac7f7f690abff8027e52509326336d9e0b686264fb3,CP01-R0165,CP01-R0165,kept,
CP01-R0166,166,167,166,f09b256dbcb5a4b7e2a5f5c334943050507f7aa68a08cdffacb63cfe3a0a8d5d,,,kept,
CP01-R0167,167,168,167,f8d6e3eb1111e27ad6383f5cd758a80ceb9ef69cdc261318335e3d38d679d6b4,,,kept,
CP01-R0168,168,169,168,ffe2096b330c3f772540ad667bb6b95993b21beb1618cfc24d143fcc12dac881,,,kept,
CP01-R0169,169,170,169,508c202b0478358f8ea84e6c506bfbcfd7234d4e44f5819e7f7c316447e6d842,,,kept,
CP01-R0170,170,171,170,a78e647a64d0f71a55d82ac7f7f690abff8027e52509326336d9e0b686264fb3,CP01-R0165,CP01-R0165,kept,
CP01-R0171,171,172,171,9f48522295ef96c5d4ff0dceb773741cb0900a5216f762053a0a75a69c9ddf15,,,kept,
CP01-R0172,172,173,172,6603c0a20e5c085d9d8731368c57178d560253c110d9e7d785e3db63ff141335,,,kept,
CP01-R0173,173,174,173,a78e647a64d0f71a55d82ac7f7f690abff8027e52509326336d9e0b686264fb3,CP01-R0165,CP01-R0165,kept,
CP01-R0174,174,175,174,2ca6d62e65e154f08bfc609ee4c7f623c0cf19f419f76707f1c83e5879638a49,,,kept,
CP01-R0175,175,176,175,3bf10d3b7e6dfc2ded74c3e26fbe6b75357e80e03010235225ca4ffef00582bc,,,kept,
CP01-R0176,176,177,176,e37148e978c317a3d7b1ae3472b8e3ae582ed463947d0946be646d33ca2b7ab3,CP01-R0176,CP01-R0176,kept,
CP01-R0177,177,178,177,ca6bbb57b708902177a850f80430c4f4b37be415c3d4c898e653d11d83ab0684,,,kept,
CP01-R0178,178,179,178,e37148e978c317a3d7b1ae3472b8e3ae582ed463947d0946be646d33ca2b7ab3,CP01-R0176,CP01-R0176,kept,
CP01-R0179,179,180,179,3c5531412f486bc99332f2c31a62f259c989286bce5900923431cb83237971b4,,,kept,
CP01-R0180,180,181,180,e37148e978c317a3d7b1ae3472b8e3ae582ed463947d0946be646d33ca2b7ab3,CP01-R0176,CP01-R0176,kept,
CP01-R0181,181,182,181,56594778036e24d556e0d2633f78ce04ddb73e8800385b74072c0dec5c936c6f,,,kept,
CP01-R0182,182,183,182,f765b67b3c1e5b3eeded34e20c4183aa9ad3e070fe0b2583f012786fcec058fd,,,kept,
CP01-R0183,183,184,183,e37148e978c317a3d7b1ae3472b8e3ae582ed463947d0946be646d33ca2b7ab3,CP01-R0176,CP01-R0176,kept,
CP01-R0184,184,185,184,d1a2ec65d48ea8d2a272756f278f7e0e717b1adb208a34d4570491b66e79c886,,,kept,
CP01-R0185,185,186,185,6d1af0b2839c0f43b0a957c7435270371a4af9aa717639778e36124e91aed9e8,,,kept,
CP01-R0186,186,187,186,1b59a72ea73c2e282fb7953212d4da8e4d139000b2d45b36e75c936fa9c7ebd2,,,kept,
CP01-R0187,187,188,187,f965e48d9397aba7e97de5312aac7ac563989f2ea5f07addc76efb0f9dd85e04,,,kept,
CP01-R0188,188,189,188,3915e0b9e50a670a0c2a4a692ede0a2f1c15d2d1398d145d31e3739f3d4a6c59,,,kept,
CP01-R0189,189,190,189,37ff63febfaca593792177dd74f9db43a89f27a5ffd1e66d9f8d0fe778e7022a,,,kept,
CP01-R0190,190,191,190,ccd5e6804a727c4bc68037e927dddf5d0f9ed2c608c08a424a3e6e086f478f60,,,kept,
CP01-R0191,191,192,191,4613dab458085a40879b21ca92ce15315e558319176813f73d3a0defa2faacf0,,,kept,
CP01-R0192,192,193,192,574f1d2e1969a1ffe3c7e33abd1c0c653ad4084376b2e584cd27393646bbd6ac,,,kept,
CP01-R0193,193,194,193,1c919c9fcbf2f2811d1fbd216cfd07719ec7f4cd2d21ca8367cbb1b6e7f96731,,,kept,
CP01-R0194,194,195,194,51fc77f53c1421400840f68dcc98b383acac15484a3782a9d18c4dc420bb8c2b,,,kept,
CP01-R0195,195,196,195,2b4f2b41d5a9039db7ff24336243187d99f63c2d538118b4a973330832b246c6,,,kept,
CP01-R0196,196,197,196,f7c084619be36a59c42cad1e7b71f78b42652c258f88165521414e13ce757046,,,kept,
CP01-R0197,197,198,197,3c8c6b94da4e734b11cf7c76d7b05267f2fd23c8d404a292032cc93ab58a81ae,,,kept,
CP01-R0198,198,199,198,68f2f4f35b9fbb740c005cbe80ba02e48e7743a5e3fd2dec6a20ad6567b527e3,,,kept,
CP01-R0199,199,200,199,11e7b17cabe8a3f6ac9fb1a736590ac61603c9a9b48b9acca276de34fb0bedd7,,,kept,
CP01-R0200,200,201,200,bebd96491191bef5734c7f63c0ae7a0f593d761e1a364fede2b44344ecb007e3,,,kept,
CP01-R0201,201,202,201,7e8f93c1da6d884bfb930eca716c5116f0f2af97086d7f0e5b989fb6b3d3eefb,,,kept,
CP01-R0202,202,203,202,32346db47d6ee6435dd3941967554ba9df008febec52ddb0c4ba9dd332b6e0e9,,,kept,
CP01-R0203,203,204,203,0355a4809a8d332debf2124faeea86693d817cbf04b5c72149c06abc0ccacf7c,,,kept,
CP01-R0204,204,205,204,911150aad37410d6a52b32b1a8555b20dc19ec9cebdc0fe96354b2af61028d9d,,,kept,
CP01-R0205,205,206,205,cc87c5c99962551642c646414148dafb6a3ebde1152bb48007e7468e21fe421d,,,kept,
CP01-R0206,206,207,206,170a1c113134ed75d3edc63f1a9c05028ef5915290e5bf4ce8aad2ad4932068c,,,kept,
CP01-R0207,207,208,207,92534408a9f79e45bfaba05401b2133a285ca1131ca5583bf2e228904a7a9e95,,,kept,
CP01-R0208,208,209,208,b3c4341aa218593017cba2d244457bb0be16d3e0dd4e1d443179f814f98dbf07,,,kept,
CP01-R0209,209,210,209,a5f501553fbf2e116c416bba0c6f293e4a712a38f6cf74aa7ab0f835667d0260,,,kept,
CP01-R0210,210,211,210,2f101b369d8180022b8cd0874ac5ffaf939fb796ed48e6018f51690ef50f64d1,,,kept,
CP01-R0211,211,212,211,07b3e4e107d5ab49920a14a7474ad4135f6f0956936c3ee3427332471a71c2c5,,,kept,
CP01-R0212,212,213,212,41bc84b3387e6096eeb254bc08c7db6d193571b1342f56f7ace0e3b7c7d0f078,,,kept,
