upload_order,filename,bytes,sha256,role,lineage,media_type,primary_reader,source_path
11,41_THROUGH_LESSON12_VISUAL_QA_RECEIPT.json,21702,02583cecceba1db5f8a9f7561f567ebd98585c441a6e4cae5ba1ef92f8710d6e,preserved-prior-html-visual-qa,preserved-zenodo-record-22105616,application/json,False,release/41_THROUGH_LESSON12_VISUAL_QA_RECEIPT.json
12,50_THROUGH_LESSON12_RELEASE_MANIFEST.csv,854,92fb966e8e2d6df14810571bdb171eafa2305e9c0241f7a87f5c3c85545c1528,preserved-prior-manifest,preserved-zenodo-record-22105616,text/csv,False,release/50_THROUGH_LESSON12_RELEASE_MANIFEST.csv
13,SHA256SUMS_THROUGH_LESSON12.txt,750,ed97539fb0dd796edcc287cae67920acb04e62bb5e65cd0775e8afbfb7d3d663,preserved-prior-checksums,preserved-zenodo-record-22105616,text/plain,False,release/SHA256SUMS_THROUGH_LESSON12.txt
14,60_THROUGH_LESSON12_RELEASE_ROOT_RECEIPT.json,4763,d9306b66b26a5faf0b90cfc7c1266001cba9a4159cef1394692fb07b6cc7ac49,preserved-prior-release-root,preserved-zenodo-record-22105616,application/json,False,release/60_THROUGH_LESSON12_RELEASE_ROOT_RECEIPT.json
15,50_COMPLETE_CONSOLIDATED_READERS_FULL_UNION_MANIFEST.csv,3655,a55022c0c3f601f6bb25d9b0f41a761f75132f681d869412c7e4cb09a643d9fd,full-union-substantive-manifest,current-consolidated-readers,text/csv,False,release/50_COMPLETE_CONSOLIDATED_READERS_FULL_UNION_MANIFEST.csv
16,SHA256SUMS_COMPLETE_CONSOLIDATED_READERS.txt,1661,1b9fdbc6e88b50983488e41eb3df01ea38853f243a319375cfa73bd403aff03e,full-union-sha256-checksums,current-consolidated-readers,text/plain,False,release/SHA256SUMS_COMPLETE_CONSOLIDATED_READERS.txt
17,60_COMPLETE_CONSOLIDATED_READERS_FULL_UNION_ROOT_RECEIPT.json,11484,a88abbdaac65574089d155613e422ec91896c49ae842b3eaab7935037727260a,full-union-release-root-receipt,current-consolidated-readers,application/json,False,release/60_COMPLETE_CONSOLIDATED_READERS_FULL_UNION_ROOT_RECEIPT.json
18,01_RANDOM_COMPLETENESS_DONOR_OFFLINE_READER.zip,610303,45487bfcf873f4fd282c92e5b9f7c3453701f3aafa90de9bfc1c69f99ce41a5b,standalone-complete-random-completeness-offline-reader,current-random-completeness-donor,application/zip,False,release/01_RANDOM_COMPLETENESS_DONOR_OFFLINE_READER.zip
19,11_RANDOM_COMPLETENESS_DONOR_SOURCE_BACKEND.zip,741277,485e5264c694284de2eea5511cbb7955a620a042e9caac354440b3a2a76a773b,compact-resumable-random-completeness-source-backend,current-random-completeness-donor,application/zip,False,release/11_RANDOM_COMPLETENESS_DONOR_SOURCE_BACKEND.zip
20,21_RANDOM_COMPLETENESS_DONOR_RELEASE_NOTES.md,1249,d6ec13b8d1303a95d25695a246d335411e9a7d6799a624afb94c143bd0777256,donor-scope-status-rights-provenance,current-random-completeness-donor,text/markdown,False,release/21_RANDOM_COMPLETENESS_DONOR_RELEASE_NOTES.md
21,31_RANDOM_COMPLETENESS_DONOR_LICENSE_AND_ATTRIBUTION.md,2197,d6aad0f8d75ef1083b5fc7d7dc3c50282e093d24e9ea45f75466eb5cc7c8b66b,donor-component-rights-and-attribution,current-random-completeness-donor,text/markdown,False,release/31_RANDOM_COMPLETENESS_DONOR_LICENSE_AND_ATTRIBUTION.md
22,41_RANDOM_COMPLETENESS_DONOR_STATIC_QA_EVIDENCE.zip,9581,dfb1bd1f1c7c49918a7d3cb670895750173d23302270c989d5cad9d4f1bbc79a,compact-browser-free-static-qa-evidence,current-random-completeness-donor,application/zip,False,release/41_RANDOM_COMPLETENESS_DONOR_STATIC_QA_EVIDENCE.zip
