row_id,source_record,source_line,fitted_mpa,residual_mpa,leverage,internal_standardized_residual,deleted_studentized_residual,deleted_residual_mpa,cook_distance,leverage_screen_2p_over_n,cook_screen_4_over_n,screen_union
CP01-R0036,36,37,55.29842511,-16.88842511,0.01922231,-1.63985832,-1.64121783,-17.21942220,0.00585606,true,true,true
CP01-R0037,37,38,27.65668458,2.42331542,0.01020738,0.23422881,0.23412036,2.44830620,0.00006286,false,false,false
CP01-R0038,38,39,36.25261275,1.46738725,0.00831439,0.14169685,0.14162884,1.47968997,0.00001870,false,false,false
CP01-R0039,39,40,38.52385264,3.70614736,0.01337028,0.35879638,0.35864324,3.75637109,0.00019384,false,false,false
CP01-R0040,40,41,45.01843896,-8.76843896,0.01214372,-0.84835547,-0.84823893,-8.87622943,0.00098304,false,false,false
CP01-R0041,41,42,28.07124357,22.38875643,0.00846761,2.16211596,2.16602124,22.57995467,0.00443577,false,true,true
CP01-R0042,42,43,69.17784146,-25.47784146,0.02957841,-2.48705203,-2.49339802,-26.25440514,0.02094796,true,true,true
CP01-R0043,43,44,66.14952159,-27.14952159,0.03148094,-2.65283696,-2.66072327,-28.03199504,0.02541664,true,true,true
CP01-R0044,44,45,38.95689369,14.14310631,0.01163887,1.36801053,1.36859530,14.30965446,0.00244868,false,false,false
CP01-R0045,45,46,37.76677268,3.77322732,0.01077826,0.36481157,0.36465664,3.81433925,0.00016112,false,false,false
CP01-R0046,46,47,28.28634101,6.79365899,0.01319702,0.65764418,0.65746131,6.88451408,0.00064267,false,false,false
CP01-R0047,47,48,25.26669009,-10.21669009,0.00681591,-0.98582041,-0.98580681,-10.28680398,0.00074105,false,false,false
CP01-R0048,48,49,47.28967886,-6.52967886,0.01097299,-0.63137911,-0.63119307,-6.60212387,0.00049142,false,false,false
CP01-R0049,49,50,25.25802115,1.00197885,0.01092935,0.09688295,0.09683594,1.01305084,0.00001152,false,false,false
CP01-R0050,50,51,27.52926104,5.29073896,0.01127002,0.51165821,0.51147316,5.35104533,0.00033156,false,false,false
CP01-R0051,51,52,46.53259889,-6.75259889,0.01045651,-0.65276367,-0.65258011,-6.82395360,0.00050029,false,false,false
CP01-R0052,52,53,35.92857383,11.00142617,0.01032981,1.06342339,1.06349162,11.11625498,0.00131151,false,false,false
CP01-R0053,53,54,34.73845282,-1.61845282,0.00947742,-0.15637608,-0.15630135,-1.63393833,0.00002600,false,false,false
CP01-R0054,54,55,27.46557960,21.72442040,0.00741582,2.09684819,2.10034836,21.88672843,0.00364992,false,false,false
CP01-R0055,55,56,22.38605110,-7.79605110,0.01250936,-0.75441558,-0.75425629,-7.89481012,0.00080109,false,false,false
CP01-R0056,56,57,20.59166574,-5.95166574,0.00448310,-0.57360995,-0.57342138,-5.97846780,0.00016463,false,false,false
CP01-R0057,57,58,69.93492142,-28.00492142,0.03136960,-2.73626260,-2.74500556,-28.91187532,0.02694163,true,true,true
CP01-R0058,58,59,20.13477747,-11.00477747,0.00457643,-1.06066874,-1.06073375,-11.05537161,0.00057469,false,false,false
CP01-R0059,59,60,37.74556575,13.20443425,0.00937433,1.27575557,1.27614821,13.32938836,0.00171129,false,false,false
CP01-R0060,60,61,29.17084451,3.84915549,0.00940545,0.37189467,0.37173768,3.88570227,0.00014591,false,false,false
CP01-R0061,61,62,48.02555189,6.35444811,0.01574513,0.61592313,0.61573583,6.45610021,0.00067429,false,false,false
CP01-R0062,62,63,47.41988792,4.31011208,0.01569299,0.41775893,0.41758999,4.37882899,0.00030916,false,false,false
CP01-R0063,63,64,20.10208706,-10.23208706,0.00525995,-0.98653362,-0.98652068,-10.28619193,0.00057181,false,false,false
CP01-R0064,64,65,46.20855998,4.45144002,0.01732963,0.43181633,0.43164423,4.52994224,0.00036537,false,false,false
CP01-R0065,65,66,37.13990178,11.56009822,0.00911252,1.11673935,1.11687464,11.66640861,0.00127431,false,false,false
CP01-R0066,66,67,48.63121587,6.42878413,0.01637757,0.62332866,0.62314191,6.53582504,0.00071881,false,false,false
CP01-R0067,67,68,62.70644121,-18.00644121,0.04107458,-1.76822667,-1.77007287,-18.77772857,0.01488064,true,true,true
CP01-R0068,68,69,26.77218108,3.50781892,0.01024974,0.33906020,0.33891320,3.54414548,0.00013228,false,false,false
CP01-R0069,69,70,18.56681945,22.29318055,0.00852650,2.15294999,2.15679675,22.48489804,0.00442910,false,true,true
CP01-R0070,70,71,52.49285882,19.49714118,0.01843220,1.89240135,1.89480033,19.86326476,0.00747207,true,true,true
CP01-R0071,71,72,50.94771229,-16.54771229,0.00569609,-1.59580879,-1.59702001,-16.64250953,0.00162098,false,false,false
CP01-R0072,72,73,49.26912976,-20.46912976,0.01142051,-1.97968479,-1.98252372,-20.70559821,0.00503064,false,true,true
CP01-R0073,73,74,54.10058283,-20.70058283,0.00931266,-1.99993892,-2.00288627,-20.89517254,0.00417761,false,true,true
CP01-R0074,74,75,54.86264131,-18.56264131,0.00866364,-1.79279949,-1.79474850,-18.72486689,0.00312105,false,false,false
CP01-R0075,75,76,54.99128071,-25.99128071,0.01795953,-2.52211829,-2.52877261,-26.46660849,0.01292569,true,true,true
CP01-R0076,76,77,52.89836581,-15.09836581,0.00887924,-1.45837470,-1.45918095,-15.23362888,0.00211712,false,false,false
CP01-R0077,77,78,66.50488583,-26.30488583,0.02868571,-2.56660477,-2.57366359,-27.08174501,0.02161630,true,true,true
CP01-R0078,78,79,54.10058283,-20.70058283,0.00931266,-1.99993892,-2.00288627,-20.89517254,0.00417761,false,true,true
CP01-R0079,79,80,47.61805790,-19.51805790,0.00919992,-1.88558472,-1.88795116,-19.69928972,0.00366815,false,false,false
CP01-R0080,80,81,61.10117769,-19.80117769,0.02572013,-1.92908614,-1.93166472,-20.32391140,0.01091567,true,true,true
CP01-R0081,81,82,54.10058283,-20.70058283,0.00931266,-1.99993892,-2.00288627,-20.89517254,0.00417761,false,true,true
CP01-R0082,82,83,51.29992143,-26.09992143,0.00970407,-2.52208180,-2.52873579,-26.35567879,0.00692572,false,true,true
CP01-R0083,83,84,50.54653807,-9.44653807,0.00611309,-0.91118520,-0.91110939,-9.50464076,0.00056741,false,false,false
CP01-R0084,84,85,51.09731466,-15.79731466,0.00542996,-1.52323899,-1.52422576,-15.88356177,0.00140752,false,false,false
CP01-R0085,85,86,50.99376174,-22.69376174,0.01030983,-2.19360955,-2.19772003,-22.93016792,0.00556966,false,true,true
CP01-R0086,86,87,52.48599010,-23.88599010,0.01906515,-2.31913287,-2.32412642,-24.35023091,0.01161472,true,true,true
CP01-R0087,87,88,51.09731466,-15.79731466,0.00542996,-1.52323899,-1.52422576,-15.88356177,0.00140752,false,false,false
CP01-R0088,88,89,48.15419138,-23.75419138,0.00755999,-2.29292888,-2.29772930,-23.93514090,0.00444996,false,true,true
CP01-R0089,89,90,51.09731466,-15.79731466,0.00542996,-1.52323899,-1.52422576,-15.88356177,0.00140752,false,false,false
CP01-R0090,90,91,53.64591171,-14.34591171,0.00847651,-1.38541254,-1.38603733,-14.46855450,0.00182318,false,false,false
CP01-R0091,91,92,60.25555875,-19.65555875,0.01283837,-1.90236447,-1.90481147,-19.91118590,0.00522958,false,true,true
CP01-R0092,92,93,51.09731466,-15.79731466,0.00542996,-1.52323899,-1.52422576,-15.88356177,0.00140752,false,false,false
CP01-R0093,93,94,46.02529176,-21.92529176,0.00495278,-2.11361557,-2.11721725,-22.03442331,0.00247067,false,false,false
CP01-R0094,94,95,51.40460056,-5.20460056,0.00563814,-0.50190051,-0.50171656,-5.23411121,0.00015870,false,false,false
CP01-R0095,95,96,49.72601803,-6.92601803,0.01134812,-0.66982968,-0.66964872,-7.00551750,0.00057223,false,false,false
CP01-R0096,96,97,54.55747111,-5.35747111,0.00926990,-0.51758851,-0.51740286,-5.40759900,0.00027851,false,false,false
CP01-R0097,97,98,55.31952958,-8.51952958,0.00860446,-0.82280060,-0.82267035,-8.59347177,0.00065286,false,false,false
CP01-R0098,98,99,55.44816899,-9.74816899,0.01795589,-0.94593221,-0.94588343,-9.92640642,0.00181783,true,false,true
CP01-R0099,99,100,53.35525408,2.24474592,0.00879755,0.21681457,0.21671336,2.26466946,0.00004636,false,false,false
CP01-R0100,100,101,66.96177410,-12.06177410,0.02863463,-1.17685335,-1.17707550,-12.41734000,0.00453640,true,true,true
CP01-R0101,101,102,54.55747111,-5.35747111,0.00926990,-0.51758851,-0.51740286,-5.40759900,0.00027851,false,false,false
CP01-R0102,102,103,48.07494618,-13.17494618,0.00916107,-1.27276957,-1.27315653,-13.29675875,0.00166418,false,false,false
CP01-R0103,103,104,61.55806596,-14.65806596,0.02564978,-1.42797825,-1.42870618,-15.04393978,0.00596444,true,true,true
CP01-R0104,104,105,54.55747111,-5.35747111,0.00926990,-0.51758851,-0.51740286,-5.40759900,0.00027851,false,false,false
CP01-R0105,105,106,51.75680970,-18.35680970,0.00968562,-1.77383463,-1.77570401,-18.53634574,0.00341931,false,false,false
CP01-R0106,106,107,51.00342634,3.09657366,0.00607646,0.29868086,0.29854760,3.11550489,0.00006060,false,false,false
CP01-R0107,107,108,51.55420294,4.34579706,0.00537549,0.41902731,0.41885807,4.36928410,0.00010544,false,false,false
CP01-R0108,108,109,51.45065001,-1.65065001,0.01023812,-0.15954827,-0.15947211,-1.66772437,0.00002926,false,false,false
CP01-R0109,109,110,52.94287837,-5.84287837,0.01898023,-0.56727080,-0.56708231,-5.95592319,0.00069177,true,false,true
CP01-R0110,110,111,51.55420294,4.34579706,0.00537549,0.41902731,0.41885807,4.36928410,0.00010544,false,false,false
CP01-R0111,111,112,48.61107965,-10.61107965,0.00754276,-1.02425039,-1.02427503,-10.69172474,0.00088591,false,false,false
CP01-R0112,112,113,51.55420294,4.34579706,0.00537549,0.41902731,0.41885807,4.36928410,0.00010544,false,false,false
CP01-R0113,113,114,54.10279998,1.99720002,0.00838510,0.19286459,0.19277363,2.01408834,0.00003495,false,false,false
CP01-R0114,114,115,60.71244702,-1.62244702,0.01279414,-0.15702512,-0.15695010,-1.64347385,0.00003551,false,false,false
CP01-R0115,115,116,51.55420294,-28.65420294,0.00537549,-2.76287488,-2.77190300,-28.80906576,0.00458394,false,true,true
CP01-R0116,116,117,46.48218003,-11.38218003,0.00488646,-1.09721465,-1.09732432,-11.43807172,0.00065684,false,false,false
CP01-R0117,117,118,53.80326399,7.28673601,0.00547689,0.70263222,0.70245790,7.32686446,0.00030209,false,false,false
CP01-R0118,118,119,52.12468147,7.67531853,0.01111109,0.74220713,0.74204377,7.76155789,0.00068773,false,false,false
CP01-R0119,119,120,56.95613454,3.33386546,0.00918837,0.32207350,0.32193209,3.36478234,0.00010688,false,false,false
CP01-R0120,120,121,57.71819302,4.08180698,0.00843673,0.39418012,0.39401702,4.11653711,0.00014689,false,false,false
CP01-R0121,121,122,57.84683242,-1.14683242,0.01807977,-0.11129210,-0.11123826,-1.16794866,0.00002534,true,false,true
CP01-R0122,122,123,55.75391752,12.54608248,0.00851167,1.21162102,1.21189909,12.65378737,0.00140029,false,false,false
CP01-R0123,123,124,69.36043754,-2.46043754,0.02850941,-0.24004657,-0.23993576,-2.53264167,0.00018789,true,false,true
CP01-R0124,124,125,56.95613454,3.33386546,0.00918837,0.32207350,0.32193209,3.36478234,0.00010688,false,false,false
CP01-R0125,125,126,50.47360961,0.22639039,0.00910014,0.02186984,0.02185913,0.22846949,0.00000049,false,false,false
CP01-R0126,126,127,63.95672939,-7.55672939,0.02542345,-0.73608566,-0.73592039,-7.75385922,0.00157048,true,false,true
CP01-R0127,127,128,56.95613454,3.33386546,0.00918837,0.32207350,0.32193209,3.36478234,0.00010688,false,false,false
CP01-R0128,128,129,54.15547314,1.34452686,0.00973176,0.12992584,0.12986327,1.35774006,0.00001843,false,false,false
CP01-R0129,129,130,53.40208978,15.09791022,0.00602715,1.45623694,1.45703754,15.18945936,0.00142876,false,false,false
CP01-R0130,130,131,53.95286637,17.34713363,0.00523251,1.67251259,1.67398807,17.43838007,0.00163487,false,false,false
CP01-R0131,131,132,53.84931344,20.85068656,0.01000462,2.01514471,2.01817505,21.06139774,0.00455971,false,true,true
CP01-R0132,132,133,55.34154181,-3.14154181,0.01867742,-0.30495757,-0.30482207,-3.20133446,0.00019667,true,false,true
CP01-R0133,133,134,53.95286637,17.34713363,0.00523251,1.67251259,1.67398807,17.43838007,0.00163487,false,false,false
CP01-R0134,134,135,51.00974308,16.69025692,0.00759526,1.61109471,1.61235634,16.81799394,0.00220726,false,false,false
CP01-R0135,135,136,53.95286637,17.34713363,0.00523251,1.67251259,1.67398807,17.43838007,0.00163487,false,false,false
CP01-R0136,136,137,56.50146342,9.49853658,0.00804819,0.91709405,0.91702261,9.57560286,0.00075822,false,false,false
CP01-R0137,137,138,63.11111045,11.38888955,0.01270492,1.10219988,1.10231598,11.53544643,0.00173701,false,false,false
CP01-R0138,138,139,53.95286637,17.34713363,0.00523251,1.67251259,1.67398807,17.43838007,0.00163487,false,false,false
CP01-R0139,139,140,48.88084347,1.01915653,0.00468130,0.09823410,0.09818645,1.02394995,0.00000504,false,false,false
CP01-R0140,140,141,57.00148191,6.39851809,0.00563558,0.61703398,0.61684675,6.43478181,0.00023976,false,false,false
CP01-R0141,141,142,55.32289938,9.57710062,0.01116873,0.92613739,0.92607281,9.68527279,0.00107644,false,false,false
CP01-R0142,142,143,60.15435245,4.14564755,0.00945336,0.40055059,0.40038585,4.18521186,0.00017013,false,false,false
CP01-R0143,143,144,60.91641093,3.98358907,0.00858678,0.38472432,0.38456375,4.01809155,0.00014244,false,false,false
CP01-R0144,144,145,61.04505033,-0.84505033,0.01861862,-0.08202876,-0.08198885,-0.86108250,0.00001418,true,false,true
CP01-R0145,145,146,58.95213543,13.34786457,0.00850418,1.28904718,1.28946546,13.46235083,0.00158357,false,false,false
CP01-R0146,146,147,72.55865545,-3.25865545,0.02871614,-0.31795658,-0.31781657,-3.35499805,0.00033210,true,false,true
CP01-R0147,147,148,60.15435245,4.14564755,0.00945336,0.40055059,0.40038585,4.18521186,0.00017013,false,false,false
CP01-R0148,148,149,53.67182752,1.52817248,0.00939257,0.14764680,0.14757606,1.54266203,0.00002297,false,false,false
CP01-R0149,149,150,67.15494731,-8.35494731,0.02549534,-0.81386846,-0.81373380,-8.57353246,0.00192550,true,false,true
CP01-R0150,150,151,60.15435245,4.14564755,0.00945336,0.40055059,0.40038585,4.18521186,0.00017013,false,false,false
CP01-R0151,151,152,57.35369105,8.74630895,0.01016696,0.84536897,0.84525075,8.83614566,0.00081560,false,false,false
CP01-R0152,152,153,56.60030769,17.09969231,0.00633509,1.64957013,1.65096358,17.20871098,0.00192758,false,false,false
CP01-R0153,153,154,57.15108428,20.14891572,0.00541554,1.94282334,1.94547113,20.25862722,0.00228362,false,false,false
CP01-R0154,154,155,57.04753136,23.15246864,0.01006696,2.23767423,2.24208270,23.38791383,0.00565775,false,true,true
CP01-R0155,155,156,58.53975972,-3.63975972,0.01864734,-0.35331545,-0.35316397,-3.70892124,0.00026356,true,false,true
CP01-R0156,156,157,57.15108428,20.14891572,0.00541554,1.94282334,1.94547113,20.25862722,0.00228362,false,false,false
CP01-R0157,157,158,54.20796100,18.78203900,0.00803894,1.81341787,1.81545560,18.93425037,0.00296113,false,false,false
CP01-R0158,158,159,57.15108428,20.14891572,0.00541554,1.94282334,1.94547113,20.25862722,0.00228362,false,false,false
CP01-R0159,159,160,59.69968133,12.00031867,0.00797266,1.15859973,1.15879422,12.09676208,0.00119868,false,false,false
CP01-R0160,160,161,66.30932837,13.09067163,0.01295964,1.26705929,1.26743550,13.26254946,0.00234212,false,false,false
CP01-R0161,161,162,57.15108428,20.14891572,0.00541554,1.94282334,1.94547113,20.25862722,0.00228362,false,false,false
CP01-R0162,162,163,52.07906138,7.81093862,0.00478144,0.75291588,0.75275608,7.84846557,0.00030262,false,false,false
CP01-R0163,163,164,60.99925430,3.90074570,0.00643450,0.37631528,0.37615703,3.92600758,0.00010190,false,false,false
CP01-R0164,164,165,59.32067177,7.27932823,0.01184133,0.70417471,0.70400076,7.36655811,0.00066023,false,false,false
CP01-R0165,165,166,64.15212484,1.04787516,0.01038515,0.10129288,0.10124377,1.05887170,0.00001196,false,false,false
CP01-R0166,166,167,64.91418332,1.78581668,0.00937490,0.17253797,0.17245597,1.80271698,0.00003130,false,false,false
CP01-R0167,167,168,65.04282272,-2.54282272,0.01989275,-0.24699135,-0.24687774,-2.59443313,0.00013758,true,false,true
CP01-R0168,168,169,62.94990782,11.24009218,0.00909538,1.08581643,1.08591172,11.34326343,0.00120243,false,false,false
CP01-R0169,169,170,76.55642784,-5.85642784,0.02957512,-0.57168171,-0.57149316,-6.03491103,0.00110670,true,false,true
CP01-R0170,170,171,64.15212484,1.04787516,0.01038515,0.10129288,0.10124377,1.05887170,0.00001196,false,false,false
CP01-R0171,171,172,57.66959991,-0.06959991,0.01035867,-0.00672779,-0.00672449,-0.07032842,0.00000005,false,false,false
CP01-R0172,172,173,71.15271970,-11.95271970,0.02618578,-1.16474577,-1.16494945,-12.27412724,0.00405330,true,true,true
CP01-R0173,173,174,64.15212484,1.04787516,0.01038515,0.10129288,0.10124377,1.05887170,0.00001196,false,false,false
CP01-R0174,174,175,61.35146344,6.74853656,0.01131151,0.65265299,0.65246941,6.82574608,0.00054148,false,false,false
CP01-R0175,175,176,60.59808008,14.90191992,0.00732057,1.43826919,1.43902320,15.01181494,0.00169502,false,false,false
CP01-R0176,176,177,61.14885667,18.15114333,0.00624490,1.75092187,1.75269757,18.26520779,0.00214061,false,false,false
CP01-R0177,177,178,62.53753211,-6.03753211,0.01921031,-0.58623801,-0.58604949,-6.15578667,0.00074794,true,false,true
CP01-R0178,178,179,61.14885667,18.15114333,0.00624490,1.75092187,1.75269757,18.26520779,0.00214061,false,false,false
CP01-R0179,179,180,58.20573339,18.59426661,0.00919411,1.79633457,1.79829863,18.76681071,0.00332700,false,false,false
CP01-R0180,180,181,61.14885667,18.15114333,0.00624490,1.75092187,1.75269757,18.26520779,0.00214061,false,false,false
CP01-R0181,181,182,63.69745372,9.60254628,0.00847881,0.92733761,0.92727396,9.68466072,0.00081708,false,false,false
CP01-R0182,182,183,70.30710076,12.29289924,0.01387860,1.19039637,1.19063980,12.46590858,0.00221593,false,false,false
CP01-R0183,183,184,61.14885667,18.15114333,0.00624490,1.75092187,1.75269757,18.26520779,0.00214061,false,false,false
CP01-R0184,184,185,56.07683377,11.72316623,0.00550717,1.13043751,1.13059153,11.78808521,0.00078628,false,false,false
CP01-R0185,185,186,20.15748033,-8.57748033,0.00606126,-0.82733688,-0.82720895,-8.62978769,0.00046379,false,false,false
CP01-R0186,186,187,21.41392309,3.03607691,0.00586342,0.29281425,0.29268311,3.05398371,0.00005619,false,false,false
CP01-R0187,187,188,23.01303204,1.87696796,0.00570696,0.18100981,0.18092405,1.88774122,0.00002090,false,false,false
CP01-R0188,188,189,26.21124995,3.23875005,0.00571434,0.31233763,0.31219955,3.25736371,0.00006230,false,false,false
CP01-R0189,189,190,31.23702096,9.47297904,0.00658877,0.91395436,0.91388059,9.53580829,0.00061558,false,false,false
CP01-R0190,190,191,19.34953346,-8.96953346,0.00676967,-0.86546066,-0.86535421,-9.03066813,0.00056724,false,false,false
CP01-R0191,191,192,20.60597621,1.53402379,0.00652424,0.14799803,0.14792712,1.54409785,0.00001598,false,false,false
CP01-R0192,192,193,22.20508516,0.63491484,0.00630719,0.06124799,0.06121810,0.63894478,0.00000265,false,false,false
CP01-R0193,193,194,25.40330308,2.25669692,0.00619340,0.21768312,0.21758154,2.27076065,0.00003281,false,false,false
CP01-R0194,194,195,30.42907408,4.13092592,0.00687743,0.39861023,0.39844598,4.15953279,0.00012226,false,false,false
CP01-R0195,195,196,23.03235575,-10.58235575,0.00492862,-1.02013513,-1.02015547,-10.63477052,0.00057272,false,false,false
CP01-R0196,196,197,24.28879850,0.70120150,0.00482698,0.06759211,0.06755915,0.70460260,0.00000246,false,false,false
CP01-R0197,197,198,25.88790746,-0.16790746,0.00479294,-0.01618511,-0.01617719,-0.16871610,0.00000014,false,false,false
CP01-R0198,198,199,29.08612537,4.87387463,0.00504517,0.46986721,0.46968783,4.89858885,0.00012439,false,false,false
CP01-R0199,199,200,34.11189637,3.22810363,0.00630437,0.31140332,0.31126557,3.24858391,0.00006836,false,false,false
CP01-R0200,200,201,24.80969565,-9.76969565,0.00499188,-0.94182494,-0.94177279,-9.81870949,0.00049446,false,false,false
CP01-R0201,201,202,26.06613840,-5.00613840,0.00487461,-0.48257677,-0.48239541,-5.03066092,0.00012675,false,false,false
CP01-R0202,202,203,27.66524736,-1.26524736,0.00482068,-0.12196276,-0.12190390,-1.27137626,0.00000801,false,false,false
CP01-R0203,203,204,30.86346527,4.47653473,0.00503313,0.43155894,0.43138689,4.49917969,0.00010468,false,false,false
CP01-R0204,204,205,35.88923627,4.68076373,0.00622982,0.45151918,0.45134307,4.71010685,0.00014200,false,false,false
CP01-R0205,205,206,22.61247608,-10.14247608,0.00424446,-0.97739495,-0.97737354,-10.18570891,0.00045245,false,false,false
CP01-R0206,206,207,23.86891883,-2.94891883,0.00405282,-0.28414965,-0.28402170,-2.96091889,0.00003651,false,false,false
CP01-R0207,207,208,25.46802778,-0.56802778,0.00390423,-0.05472950,-0.05470277,-0.57025419,0.00000130,false,false,false
CP01-R0208,208,209,28.66624570,5.53375430,0.00392736,0.53318366,0.53299670,5.55557306,0.00012454,false,false,false
CP01-R0209,209,210,33.69201670,5.91798330,0.00482656,0.57046212,0.57027358,5.94668533,0.00017537,false,false,false
CP01-R0210,210,211,20.93861185,-10.90861185,0.00559281,-1.05193723,-1.05199219,-10.96996480,0.00069152,false,false,false
CP01-R0211,211,212,22.19505461,-2.11505461,0.00533594,-0.20393221,-0.20383647,-2.12640095,0.00002479,false,false,false
CP01-R0212,212,213,23.79416356,0.68583644,0.00510434,0.06612021,0.06608797,0.68935514,0.00000249,false,false,false
CP01-R0213,213,214,26.99238147,4.54761853,0.00496143,0.43839595,0.43822246,4.57029374,0.00010648,false,false,false
CP01-R0214,214,215,32.01815248,3.32184752,0.00559972,0.32033290,0.32019208,3.34055368,0.00006420,false,false,false
CP01-R0215,215,216,25.32521209,-15.87521209,0.00547156,-1.53078218,-1.53179116,-15.96255215,0.00143245,false,false,false
CP01-R0216,216,217,26.58165484,-3.86165484,0.00534454,-0.37233990,-0.37218279,-3.88240451,0.00008277,false,false,false
CP01-R0217,217,218,28.18076379,0.28923621,0.00527821,0.02788716,0.02787351,0.29077096,0.00000046,false,false,false
CP01-R0218,218,219,31.37898170,7.18101830,0.00546584,0.69243442,0.69225780,7.22048434,0.00029279,false,false,false
CP01-R0219,219,220,36.40475271,3.98524729,0.00662354,0.38450395,0.38434344,4.01181976,0.00010953,false,false,false
CP01-R0220,220,221,21.02159687,-10.26159687,0.00593861,-0.98971650,-0.98970657,-10.32290054,0.00065021,false,false,false
CP01-R0221,221,222,22.27803962,3.20196038,0.00580416,0.30880367,0.30866682,3.22065356,0.00006186,false,false,false
CP01-R0222,222,223,23.87714858,-2.33714858,0.00572837,-0.22539084,-0.22528604,-2.35061376,0.00003252,false,false,false
CP01-R0223,223,224,27.07536649,1.55463351,0.00589708,0.14993907,0.14986728,1.56385570,0.00001482,false,false,false
