candidate_id,en_US,id_ID,category,glossary_status,existing_term_id,source_anchor,decision
O006-L01-CAND-0051,"differentiate with respect to y","mengambil turunan terhadap y","calculus phrase","new candidate","","#proof","More natural than the loan verb mendiferensialkan."
O006-L01-CAND-0052,"product rule","aturan hasil kali","calculus term","new candidate","","#proof","Standard calculus term."
O006-L01-CAND-0053,"chain rule","aturan rantai","calculus term","new candidate","","#proof","Standard calculus term."
O006-L01-CAND-0054,"power rule","aturan pangkat","calculus term","new candidate","","#proof","Standard calculus term."
O006-L01-CAND-0055,"term (in a sum)","suku","algebra term","new candidate","","#exm-orderstats; #proof","Do not use istilah in this mathematical context."
O006-L01-CAND-0056,"positive term","suku positif","algebra term","new compound","","#proof","Standard compound."
O006-L01-CAND-0057,"negative term","suku negatif","algebra term","new compound","","#proof","Standard compound."
O006-L01-CAND-0058,"cancel each other out","saling meniadakan","algebra phrase","new candidate","","#exm-orderstats; #proof","Natural description of algebraic cancellation."
O006-L01-CAND-0059,"calculus","kalkulus","calculus term","new candidate","","#summary","Established loanword."
O006-L01-CAND-0060,"coordinate graph","grafik koordinat","figure term","new candidate","","#exm-orderstats","For the first formula illustration."
O006-L01-CAND-0061,"number line","garis bilangan","figure term","new candidate","","#exm-orderstats","Use in corrected figure alternative text."
O006-L01-CAND-0062,"scatterplot","diagram pencar","figure term","new candidate","","#fig-stat415sec31810","Correct term, but the source use is itself erroneous and must not be propagated to this figure's alt text."
O006-L01-CAND-0063,"density plot","plot kepadatan","figure term","new candidate","","#fig-STAT-415-SEC-3-18-13.svg","Common statistical usage."
O006-L01-CAND-0064,"plot","plot","figure term","new candidate","","#exm-18-2contd","Retain the established statistical loanword."
O006-L01-CAND-0065,"figure / Fig.","Gambar","reader chrome","new candidate","","figure captions","Use Gambar 1.1, Gambar 1.2, and so on."
O006-L01-CAND-0066,"Equation","Persamaan","reader chrome","new candidate","","#proof; #eq-derivgry","Use in cross-references such as Persamaan 1.1."
O006-L01-CAND-0067,"inference problem","masalah inferensi","statistical term","new candidate","","#summary","Standard compound."
O006-L01-CAND-0068,"statistical inference","inferensi statistik","statistical term","established in Lesson00","","#summary","Match Lesson00."
O006-L01-CAND-0069,"application","penerapan","reader term","established in Lesson00","","#summary","Prefer penerapan over aplikasi for mathematical use cases."
O006-L01-CAND-0070,"STAT 415 | Introduction to Mathematical Statistics","STAT 415 | Pengantar Statistika Matematis","reader chrome","existing reader","O006-TERM-0001","page title; navbar","Match the current Indonesian reader."
O006-L01-CAND-0071,"Department of Statistics","Departemen Statistika","reader chrome","existing reader","","navbar","Match the current landing-page attribution."
O006-L01-CAND-0072,"About this course","Tentang mata kuliah ini","reader chrome","existing reader","","sidebar","Match the current landing page."
O006-L01-CAND-0073,"Lessons","Pelajaran","reader chrome","existing reader","","breadcrumb; sidebar","Match the current reader."
O006-L01-CAND-0074,"In this lesson","Dalam pelajaran ini","reader chrome","new candidate","","table of contents","Natural table-of-contents label."
O006-L01-CAND-0075,"Overview","Gambaran Umum","reader chrome","existing Lesson00","","#overview","Exact current reader wording."
O006-L01-CAND-0076,"Objectives","Tujuan","reader chrome","existing Lesson00","","#objectives","Exact current reader wording."
O006-L01-CAND-0077,"Upon completion of this lesson, you should be able to:","Setelah menyelesaikan pelajaran ini, Anda diharapkan mampu:","reader chrome","new candidate","","#objectives","Natural instructional formulation."
O006-L01-CAND-0078,"The Basics","Dasar-Dasar","section title","new candidate","","#the-basics","Concise natural title."
O006-L01-CAND-0079,"Probability Density Functions","Fungsi Kepadatan Peluang","section title","from existing glossary","O006-TERM-0011","#probability-density-functions","Do not append the acronym in the heading."
O006-L01-CAND-0080,"Summary","Ringkasan","reader chrome","new candidate","","#summary","Standard section title."
O006-L01-CAND-0081,"Key Takeaways","Pokok-Pokok Penting","reader chrome","new candidate","","#summary","Natural learner-facing label."
O006-L01-CAND-0082,"Example","Contoh","reader chrome","existing Lesson00","","examples 1.1-1.3","Match the current reader."
O006-L01-CAND-0083,"Solution","Penyelesaian","reader chrome","existing Lesson00","","solution; solution-1..4","Match the current reader and disclosure label."
O006-L01-CAND-0084,"Def. / Definition","Definisi","reader chrome","existing Lesson00","","#the-basics","Expand the abbreviation in Indonesian."
O006-L01-CAND-0085,"Theorem","Teorema","reader chrome","existing Lesson00","","#probability-density-functions","Match the current reader."
O006-L01-CAND-0086,"Proof","Bukti","reader chrome","standard candidate","","#proof","Standard mathematical label."
O006-L01-CAND-0087,"0: Review Concepts from STAT 414","0: Tinjauan Konsep dari STAT 414","pagination chrome","existing Lesson00","","previous-page link","Exact current title."
O006-L01-CAND-0088,"Estimation (Part I)","Pendugaan (Bagian I)","pagination chrome","glossary-guided override","O006-TERM-0020","next-page link","Follow the canonical glossary even though the current landing card uses Estimasi."
O006-L01-CAND-0089,"Welcome to our newly redesigned course notes! Please update your bookmarks accordingly.","Selamat datang di catatan mata kuliah kami yang baru didesain ulang! Silakan perbarui penanda Anda.","reader chrome","new candidate","","site notice","Use penanda for browser bookmark in this context."
O006-L01-CAND-0090,"Except where otherwise noted, content on this site is licensed under a CC BY-NC 4.0 license.","Kecuali dinyatakan lain, konten di situs ini dilisensikan berdasarkan lisensi CC BY-NC 4.0.","rights chrome","new candidate","","footer","Preserve the exact license identifier and exception qualifier."
O006-L01-CAND-0091,"Privacy","Privasi","footer chrome","new candidate","","footer","Standard UI term."
O006-L01-CAND-0092,"Accessibility","Aksesibilitas","footer chrome","new candidate","","footer","Standard UI term."
O006-L01-CAND-0093,"Copyright","Hak Cipta","footer chrome","new candidate","","footer","Standard legal/UI term."
O006-L01-CAND-0094,"Leave Us Feedback","Beri Kami Masukan","footer chrome","new candidate","","footer","Natural call to action."
