record_type,scenario_id,denominator_id,cell_id,cell_label,procedure,n,p_fixed,successes,trials,observed_rate,wilson_low_95,wilson_high_95,cp_low_95,cp_high_95,exact_p_value,critical_count,actual_size,raw_reject,holm_adjusted_p,holm_reject,power,first_p_at_or_above_80,grid_points,grid_min,grid_max,grid_argmin,grid_argmax,coverage_at_threshold,exact_conditional_p,conditional_space_mass,observed_deviance,informative,empirical_test_scope,conditional_on_model_assumptions,status,reason
cell,primary,primary_conservative_method_1,CP02-PTT-2022,PTT — 2022,exact_binomial_upper_tail,24,,24,24,1,0.86202379532502,1,0.857526402277474,1,5.96046447753906e-08,17,0.0319573283195496,true,5.96046447753906e-07,true,,,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Finite Binomial tail/interval inversion under fixed n; not unconditional empirical exactness.
coverage,primary,primary_conservative_method_1,,,bayes_equal_tail_primary,12,,,,,,,,,,,,,,,,,1225,0,0.985756545674313,0,0.383803732541154,0.96142578125,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Summary view of the full augmented-grid curve in CP02_coverage.csv.
coverage,primary,primary_conservative_method_1,,,wilson,12,,,,,,,,,,,,,,,,,1225,0.835503914016063,1,0.0148650944049171,0,0.96142578125,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Summary view of the full augmented-grid curve in CP02_coverage.csv.
coverage,primary,primary_conservative_method_1,,,clopper_pearson,12,,,,,,,,,,,,,,,,,1225,0.954486489036551,1,0.723330314317894,0,0.96142578125,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Summary view of the full augmented-grid curve in CP02_coverage.csv.
coverage,primary,primary_conservative_method_1,,,bayes_equal_tail_primary,15,,,,,,,,,,,,,,,,,1279,0,0.984252837774025,0,0.409925238172074,0.96484375,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Summary view of the full augmented-grid curve in CP02_coverage.csv.
coverage,primary,primary_conservative_method_1,,,wilson,15,,,,,,,,,,,,,,,,,1279,0.836049015015046,1,0.0118668954932686,0,0.96484375,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Summary view of the full augmented-grid curve in CP02_coverage.csv.
coverage,primary,primary_conservative_method_1,,,clopper_pearson,15,,,,,,,,,,,,,,,,,1279,0.951483977999011,1,0.322869766206281,0,0.96484375,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Summary view of the full augmented-grid curve in CP02_coverage.csv.
coverage,primary,primary_conservative_method_1,,,bayes_equal_tail_primary,16,,,,,,,,,,,,,,,,,1297,0,0.981707048989406,0,0.383577923314405,0.978729248046875,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Summary view of the full augmented-grid curve in CP02_coverage.csv.
coverage,primary,primary_conservative_method_1,,,wilson,16,,,,,,,,,,,,,,,,,1297,0.836184472973125,1,0.0111193447646425,0,0.923187255859375,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Summary view of the full augmented-grid curve in CP02_coverage.csv.
coverage,primary,primary_conservative_method_1,,,clopper_pearson,16,,,,,,,,,,,,,,,,,1297,0.957814203802295,1,0.523770819896128,0,0.978729248046875,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Summary view of the full augmented-grid curve in CP02_coverage.csv.
coverage,primary,primary_conservative_method_1,,,bayes_equal_tail_primary,18,,,,,,,,,,,,,,,,,1333,0,0.978376238067566,0,0.297806838783643,0.9691162109375,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Summary view of the full augmented-grid curve in CP02_coverage.csv.
coverage,primary,primary_conservative_method_1,,,wilson,18,,,,,,,,,,,,,,,,,1333,0.836409516591955,1,0.00987519097830307,0,0.9691162109375,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Summary view of the full augmented-grid curve in CP02_coverage.csv.
coverage,primary,primary_conservative_method_1,,,clopper_pearson,18,,,,,,,,,,,,,,,,,1333,0.954655594140147,1,0.357451205893063,0,0.9691162109375,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Summary view of the full augmented-grid curve in CP02_coverage.csv.
coverage,primary,primary_conservative_method_1,,,bayes_equal_tail_primary,19,,,,,,,,,,,,,,,,,1351,0,0.981251166071046,0,0.45127557242623,0.980789184570312,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Summary view of the full augmented-grid curve in CP02_coverage.csv.
coverage,primary,primary_conservative_method_1,,,wilson,19,,,,,,,,,,,,,,,,,1351,0.836504003957759,1,0.00935199406230039,0,0.936431884765625,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Summary view of the full augmented-grid curve in CP02_coverage.csv.
coverage,primary,primary_conservative_method_1,,,clopper_pearson,19,,,,,,,,,,,,,,,,,1351,0.951785657354099,1,0.334997844011735,0,0.980789184570312,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Summary view of the full augmented-grid curve in CP02_coverage.csv.
coverage,primary,primary_conservative_method_1,,,bayes_equal_tail_primary,20,,,,,,,,,,,,,,,,,1369,0,0.979791228114955,0,0.385418957388849,0.958610534667969,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Summary view of the full augmented-grid curve in CP02_coverage.csv.
coverage,primary,primary_conservative_method_1,,,wilson,20,,,,,,,,,,,,,,,,,1369,0.836588907453015,1,0.00888144880079537,0,0.958610534667969,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Summary view of the full augmented-grid curve in CP02_coverage.csv.
coverage,primary,primary_conservative_method_1,,,clopper_pearson,20,,,,,,,,,,,,,,,,,1369,0.95796993668901,1,0.491045871707957,0,0.958610534667969,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Summary view of the full augmented-grid curve in CP02_coverage.csv.
coverage,primary,primary_conservative_method_1,,,bayes_equal_tail_primary,21,,,,,,,,,,,,,,,,,1387,0,0.977893655265547,0,0.366430645656362,0.973396301269531,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Summary view of the full augmented-grid curve in CP02_coverage.csv.
coverage,primary,primary_conservative_method_1,,,wilson,21,,,,,,,,,,,,,,,,,1387,0.836665614882856,1,0.00845598780982638,0,0.921646118164062,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Summary view of the full augmented-grid curve in CP02_coverage.csv.
coverage,primary,primary_conservative_method_1,,,clopper_pearson,21,,,,,,,,,,,,,,,,,1387,0.953295314875978,1,0.478248881752886,0,0.973396301269531,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Summary view of the full augmented-grid curve in CP02_coverage.csv.
coverage,primary,primary_conservative_method_1,,,bayes_equal_tail_primary,24,,,,,,,,,,,,,,,,,1441,0,0.977735389351356,0,0.460392713907743,0.977344155311584,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Summary view of the full augmented-grid curve in CP02_coverage.csv.
coverage,primary,primary_conservative_method_1,,,wilson,24,,,,,,,,,,,,,,,,,1441,0.8368569278805,1,0.00739345616550581,0,0.936085343360901,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Summary view of the full augmented-grid curve in CP02_coverage.csv.
coverage,primary,primary_conservative_method_1,,,clopper_pearson,24,,,,,,,,,,,,,,,,,1441,0.952539003883955,1,0.328208075695178,0,0.977344155311584,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Summary view of the full augmented-grid curve in CP02_coverage.csv.
coverage,primary,primary_conservative_method_1,,,bayes_equal_tail_primary,25,,,,,,,,,,,,,,,,,1459,0,0.976524307290802,0,0.405768206487564,0.956714749336243,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Summary view of the full augmented-grid curve in CP02_coverage.csv.
coverage,primary,primary_conservative_method_1,,,wilson,25,,,,,,,,,,,,,,,,,1459,0.836910379284021,1,0.00709623350198725,0,0.956714749336243,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Summary view of the full augmented-grid curve in CP02_coverage.csv.
coverage,primary,primary_conservative_method_1,,,clopper_pearson,25,,,,,,,,,,,,,,,,,1459,0.950510733608851,1,0.313057044457032,0,0.956714749336243,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Summary view of the full augmented-grid curve in CP02_coverage.csv.
coverage,primary,primary_conservative_method_1,,,bayes_equal_tail_primary,26,,,,,,,,,,,,,,,,,1477,0,0.976086307011761,0,0.643061289196086,0.971040725708008,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Summary view of the full augmented-grid curve in CP02_coverage.csv.
coverage,primary,primary_conservative_method_1,,,wilson,26,,,,,,,,,,,,,,,,,1477,0.836959674043928,1,0.00682198499354349,0,0.924481302499771,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Summary view of the full augmented-grid curve in CP02_coverage.csv.
coverage,primary,primary_conservative_method_1,,,clopper_pearson,26,,,,,,,,,,,,,,,,,1477,0.952398851649598,1,0.482103563554258,0,0.971040725708008,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Summary view of the full augmented-grid curve in CP02_coverage.csv.
coverage,primary,primary_conservative_method_1,,,bayes_equal_tail_primary,32,,,,,,,,,,,,,,,,,1585,0,0.973085496402729,0,0.366458017121452,0.949897540267557,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Summary view of the full augmented-grid curve in CP02_coverage.csv.
coverage,primary,primary_conservative_method_1,,,wilson,32,,,,,,,,,,,,,,,,,1585,0.837190169415247,1,0.00553786016400312,0,0.949897540267557,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Summary view of the full augmented-grid curve in CP02_coverage.csv.
coverage,primary,primary_conservative_method_1,,,clopper_pearson,32,,,,,,,,,,,,,,,,,1585,0.950389693953569,1,0.531931036280268,0,0.979938392993063,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Summary view of the full augmented-grid curve in CP02_coverage.csv.
power,primary,primary_conservative_method_1,,,exact_binomial_upper_tail,12,0,,,,,,,,,10,,,,,0,0.87,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Design curve on the frozen p grid; not an estimate of observed p.
power,primary,primary_conservative_method_1,,,exact_binomial_upper_tail,12,0.001,,,,,,,,,10,,,,,6.5880055e-29,0.87,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Design curve on the frozen p grid; not an estimate of observed p.
power,primary,primary_conservative_method_1,,,exact_binomial_upper_tail,12,0.002,,,,,,,,,10,,,,,6.733846528e-26,0.87,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Design curve on the frozen p grid; not an estimate of observed p.
power,primary,primary_conservative_method_1,,,exact_binomial_upper_tail,12,0.003,,,,,,,,,10,,,,,3.876005589255e-24,0.87,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Design curve on the frozen p grid; not an estimate of observed p.
power,primary,primary_conservative_method_1,,,exact_binomial_upper_tail,12,0.004,,,,,,,,,10,,,,,6.870362226688e-23,0.87,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Design curve on the frozen p grid; not an estimate of observed p.
power,primary,primary_conservative_method_1,,,exact_binomial_upper_tail,12,0.005,,,,,,,,,10,,,,,6.38685302734375e-22,0.87,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Design curve on the frozen p grid; not an estimate of observed p.
power,primary,primary_conservative_method_1,,,exact_binomial_upper_tail,12,0.006,,,,,,,,,10,,,,,3.94735169230848e-21,0.87,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Design curve on the frozen p grid; not an estimate of observed p.
power,primary,primary_conservative_method_1,,,exact_binomial_upper_tail,12,0.007,,,,,,,,,10,,,,,1.84068484956361e-20,0.87,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Design curve on the frozen p grid; not an estimate of observed p.
power,primary,primary_conservative_method_1,,,exact_binomial_upper_tail,12,0.008,,,,,,,,,10,,,,,6.98399478041805e-20,0.87,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Design curve on the frozen p grid; not an estimate of observed p.
power,primary,primary_conservative_method_1,,,exact_binomial_upper_tail,12,0.009,,,,,,,,,10,,,,,2.26377576937426e-19,0.87,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Design curve on the frozen p grid; not an estimate of observed p.
power,primary,primary_conservative_method_1,,,exact_binomial_upper_tail,12,0.01,,,,,,,,,10,,,,,6.48055e-19,0.87,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Design curve on the frozen p grid; not an estimate of observed p.
power,primary,primary_conservative_method_1,,,exact_binomial_upper_tail,12,0.011,,,,,,,,,10,,,,,1.6778052367534e-18,0.87,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Design curve on the frozen p grid; not an estimate of observed p.
power,primary,primary_conservative_method_1,,,exact_binomial_upper_tail,12,0.012,,,,,,,,,10,,,,,3.9978754198261e-18,0.87,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Design curve on the frozen p grid; not an estimate of observed p.
power,primary,primary_conservative_method_1,,,exact_binomial_upper_tail,12,0.013,,,,,,,,,10,,,,,8.88488260943129e-18,0.87,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Design curve on the frozen p grid; not an estimate of observed p.
power,primary,primary_conservative_method_1,,,exact_binomial_upper_tail,12,0.014,,,,,,,,,10,,,,,1.8607977573237e-17,0.87,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Design curve on the frozen p grid; not an estimate of observed p.
power,primary,primary_conservative_method_1,,,exact_binomial_upper_tail,12,0.015,,,,,,,,,10,,,,,3.7028091126709e-17,0.87,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Design curve on the frozen p grid; not an estimate of observed p.
power,primary,primary_conservative_method_1,,,exact_binomial_upper_tail,12,0.016,,,,,,,,,10,,,,,7.04721862316052e-17,0.87,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Design curve on the frozen p grid; not an estimate of observed p.
power,primary,primary_conservative_method_1,,,exact_binomial_upper_tail,12,0.017,,,,,,,,,10,,,,,1.28975014095766e-16,0.87,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Design curve on the frozen p grid; not an estimate of observed p.
power,primary,primary_conservative_method_1,,,exact_binomial_upper_tail,12,0.018,,,,,,,,,10,,,,,2.28002253473654e-16,0.87,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Design curve on the frozen p grid; not an estimate of observed p.
power,primary,primary_conservative_method_1,,,exact_binomial_upper_tail,12,0.019,,,,,,,,,10,,,,,3.90793274267628e-16,0.87,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Design curve on the frozen p grid; not an estimate of observed p.
power,primary,primary_conservative_method_1,,,exact_binomial_upper_tail,12,0.02,,,,,,,,,10,,,,,6.5148928e-16,0.87,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Design curve on the frozen p grid; not an estimate of observed p.
power,primary,primary_conservative_method_1,,,exact_binomial_upper_tail,12,0.021,,,,,,,,,10,,,,,1.05924341500933e-15,0.87,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Design curve on the frozen p grid; not an estimate of observed p.
power,primary,primary_conservative_method_1,,,exact_binomial_upper_tail,12,0.022,,,,,,,,,10,,,,,1.68354373320933e-15,0.87,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Design curve on the frozen p grid; not an estimate of observed p.
power,primary,primary_conservative_method_1,,,exact_binomial_upper_tail,12,0.023,,,,,,,,,10,,,,,2.62101787349492e-15,0.87,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Design curve on the frozen p grid; not an estimate of observed p.
power,primary,primary_conservative_method_1,,,exact_binomial_upper_tail,12,0.024,,,,,,,,,10,,,,,4.00403002564352e-15,0.87,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Design curve on the frozen p grid; not an estimate of observed p.
power,primary,primary_conservative_method_1,,,exact_binomial_upper_tail,12,0.025,,,,,,,,,10,,,,,6.01142644882202e-15,0.87,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Design curve on the frozen p grid; not an estimate of observed p.
power,primary,primary_conservative_method_1,,,exact_binomial_upper_tail,12,0.026,,,,,,,,,10,,,,,8.88183556730067e-15,0.87,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Design curve on the frozen p grid; not an estimate of observed p.
power,primary,primary_conservative_method_1,,,exact_binomial_upper_tail,12,0.027,,,,,,,,,10,,,,,1.29299826552015e-14,0.87,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Design curve on the frozen p grid; not an estimate of observed p.
power,primary,primary_conservative_method_1,,,exact_binomial_upper_tail,12,0.028,,,,,,,,,10,,,,,1.85665374703813e-14,0.87,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Design curve on the frozen p grid; not an estimate of observed p.
power,primary,primary_conservative_method_1,,,exact_binomial_upper_tail,12,0.029,,,,,,,,,10,,,,,2.63220760390049e-14,0.87,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Design curve on the frozen p grid; not an estimate of observed p.
power,primary,primary_conservative_method_1,,,exact_binomial_upper_tail,12,0.03,,,,,,,,,10,,,,,3.6875805255e-14,0.87,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Design curve on the frozen p grid; not an estimate of observed p.
power,primary,primary_conservative_method_1,,,exact_binomial_upper_tail,12,0.031,,,,,,,,,10,,,,,5.10897711662726e-14,0.87,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Design curve on the frozen p grid; not an estimate of observed p.
power,primary,primary_conservative_method_1,,,exact_binomial_upper_tail,12,0.032,,,,,,,,,10,,,,,7.00493488920909e-14,0.87,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Design curve on the frozen p grid; not an estimate of observed p.
power,primary,primary_conservative_method_1,,,exact_binomial_upper_tail,12,0.033,,,,,,,,,10,,,,,9.51108941691289e-14,0.87,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Design curve on the frozen p grid; not an estimate of observed p.
power,primary,primary_conservative_method_1,,,exact_binomial_upper_tail,12,0.034,,,,,,,,,10,,,,,1.27957523668985e-13,0.87,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Design curve on the frozen p grid; not an estimate of observed p.
power,primary,primary_conservative_method_1,,,exact_binomial_upper_tail,12,0.035,,,,,,,,,10,,,,,1.70664083575209e-13,0.87,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Design curve on the frozen p grid; not an estimate of observed p.
power,primary,primary_conservative_method_1,,,exact_binomial_upper_tail,12,0.036,,,,,,,,,10,,,,,2.25772463556692e-13,0.87,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Design curve on the frozen p grid; not an estimate of observed p.
power,primary,primary_conservative_method_1,,,exact_binomial_upper_tail,12,0.037,,,,,,,,,10,,,,,2.96378516326364e-13,0.87,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Design curve on the frozen p grid; not an estimate of observed p.
power,primary,primary_conservative_method_1,,,exact_binomial_upper_tail,12,0.038,,,,,,,,,10,,,,,3.86231951525364e-13,0.87,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Design curve on the frozen p grid; not an estimate of observed p.
power,primary,primary_conservative_method_1,,,exact_binomial_upper_tail,12,0.039,,,,,,,,,10,,,,,4.99850686815006e-13,0.87,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Design curve on the frozen p grid; not an estimate of observed p.
